,Unnamed: 0,organism,plate,time,date,PM1 A7,PM1 A10,PM1 A11,PM1 B7,PM1 B12,PM1 C1,PM1 C3,PM1 C4,PM1 C5,PM1 C7,PM1 C8,PM1 C9,PM1 C10,PM1 D1,PM1 D5,PM1 D7,PM1 E1,PM1 E3,PM1 E4,PM1 E5,PM1 E7,PM1 E10,PM1 F1,PM1 F3,PM1 G1,PM1 G3,PM1 G5,PM1 G6,PM1 G12,PM1 H1,PM1 H6,PM1 H8,PM2A G2
0,0,CG23.3,PM1,13:48,10/26,0.146,0.183,0.18899999999999997,0.15,0.14300000000000002,0.16899999999999998,0.135,0.21899999999999997,0.212,0.166,0.147,0.192,0.168,0.16899999999999998,0.21100000000000002,0.179,0.19,0.155,0.187,0.136,0.16899999999999998,0.17600000000000002,0.18,0.141,0.193,0.168,0.185,0.18899999999999997,0.147,0.21,0.235,0.172,0.161
1,1,CG23.3,PM1,13:01,10/30,0.11900000000000001,0.282,0.282,0.251,0.134,0.2,0.151,0.247,0.29,0.278,0.303,0.305,0.243,0.177,0.222,0.228,0.244,0.225,0.344,0.18600000000000003,0.237,0.23199999999999998,0.23199999999999998,0.171,0.32799999999999996,0.233,0.258,0.302,0.14300000000000002,0.278,0.26899999999999996,0.254,0.19899999999999998
2,2,CG23.3,PM1,13:10,10/21,0.132,0.138,0.133,0.135,0.135,0.142,0.122,0.17,0.18899999999999997,0.135,0.139,0.142,0.138,0.14400000000000002,0.15,0.14400000000000002,0.15,0.138,0.146,0.14,0.14,0.14400000000000002,0.141,0.125,0.151,0.139,0.138,0.139,0.142,0.177,0.174,0.141,0.135
3,3,CG23.3,PM1,13:15,11/13,0.802,0.318,0.539,0.648,0.809,0.679,0.5379999999999999,0.5770000000000001,0.488,1.48,0.46299999999999997,1.534,1.386,1.093,0.632,0.424,1.232,0.7170000000000001,0.828,0.639,0.359,1.463,0.675,0.86,0.8859999999999999,0.387,1.261,0.802,0.583,0.996,0.348,0.8079999999999999,0.41600000000000004
4,4,CG23.3,PM1,12:54,11/4,0.327,0.309,0.389,0.33799999999999997,0.382,0.5479999999999999,0.20600000000000002,0.331,0.297,1.14,0.511,1.406,1.432,0.31,0.40399999999999997,0.307,1.077,0.439,0.838,0.217,0.308,1.27,0.53,0.214,0.804,0.31,0.602,0.607,0.15,0.5870000000000001,0.297,0.848,0.276
5,5,CG23.3,PM1,13:52,11/2,0.183,0.295,0.34600000000000003,0.261,0.235,0.309,0.142,0.306,0.278,0.614,0.537,1.032,0.5479999999999999,0.252,0.33399999999999996,0.261,0.609,0.35600000000000004,0.778,0.159,0.27699999999999997,0.81,0.406,0.185,0.7170000000000001,0.276,0.42,0.498,0.146,0.484,0.28800000000000003,0.495,0.257
6,6,CG23.3,PM1,12:38,11/6,0.526,0.318,0.429,0.4,0.66,0.813,0.418,0.37,0.301,1.422,0.5,1.578,1.383,0.423,0.5920000000000001,0.355,1.3090000000000002,0.5489999999999999,0.847,0.36200000000000004,0.321,1.5930000000000002,0.643,0.28600000000000003,0.889,0.35,1.129,0.735,0.24,0.7440000000000001,0.321,0.866,0.308
7,7,CG23.3,PM1,13:11,10/28,0.141,0.225,0.235,0.195,0.15,0.187,0.145,0.247,0.289,0.20800000000000002,0.17600000000000002,0.242,0.18,0.158,0.212,0.193,0.182,0.177,0.24100000000000002,0.166,0.19699999999999998,0.18,0.193,0.14400000000000002,0.192,0.17800000000000002,0.18899999999999997,0.228,0.151,0.20800000000000002,0.25,0.204,0.166
8,8,CG23.3,PM1,13:09,11/9,0.805,0.315,0.51,0.49200000000000005,0.9059999999999999,0.755,0.552,0.45799999999999996,0.299,1.486,0.485,1.71,1.59,0.7290000000000001,0.6409999999999999,0.414,1.295,0.665,0.851,0.49700000000000005,0.345,1.5830000000000002,0.688,0.462,0.93,0.32,1.3090000000000002,0.857,0.593,0.9620000000000001,0.324,0.835,0.344
9,9,CG23.3,PM1,13:07,10/23,0.139,0.16699999999999998,0.162,0.185,0.145,0.152,0.13699999999999998,0.19899999999999998,0.195,0.174,0.139,0.168,0.158,0.154,0.172,0.156,0.163,0.147,0.159,0.149,0.161,0.159,0.16899999999999998,0.142,0.17,0.185,0.16699999999999998,0.16,0.141,0.171,0.21100000000000002,0.158,0.156
