EM wavelength	EX wavelength	S1/R1
nm	nm	CPS / MicroAmps
300	240	5939.58235336236
302	240	6329.39399753837
304	240	6622.12822436545
306	240	7303.4263588461
308	240	8192.13449758174
310	240	8013.92990348792
312	240	8045.8677375722
314	240	7866.54735729864
316	240	7905.73391786613
318	240	8107.08203083252
320	240	8165.43457225868
322	240	8134.17007067783
324	240	8644.41784106661
326	240	8362.6393632418
328	240	8471.45686553548
330	240	8158.99833047042
332	240	8115.93278112718
334	240	8692.71806024387
336	240	7691.66540316272
338	240	7852.57180004483
340	240	8017.91605038076
342	240	7079.26941227905
344	240	7329.52344130479
346	240	7122.12413857282
348	240	7148.12742131486
350	240	6660.55354829243
352	240	7127.86506691942
354	240	7290.48233009456
356	240	6725.5277345712
358	240	7099.51805522344
360	240	7850.22485560387
362	240	7659.9593817912
364	240	7674.40277879415
366	240	7799.82411248037
368	240	8027.25492677272
370	240	8482.81535857962
372	240	8953.00312274418
374	240	8463.34670478426
376	240	9085.79056296897
378	240	9791.6880802191
380	240	10341.2397595758
382	240	10675.4118681373
384	240	11632.9553932731
386	240	11342.1882620574
388	240	11173.1932234065
390	240	12644.5060361145
392	240	13131.3674086455
394	240	14516.1875970915
396	240	14111.8079596924
398	240	15917.1103815848
400	240	16282.1406705138
402	240	16078.4261431665
404	240	15805.209954676
406	240	16751.6392734996
408	240	16047.7079464193
410	240	17356.1383267668
412	240	16914.5156882605
414	240	16934.7251022831
416	240	17607.5130469548
418	240	18258.9554331652
420	240	17541.4109291205
422	240	17159.1122703449
424	240	17186.3803388385
426	240	17968.6704294196
428	240	17787.8909706188
430	240	17124.2501333928
432	240	17985.9417598589
434	240	18219.5780460997
436	240	18036.7838818289
438	240	17582.0284557611
440	240	17333.5439398987
442	240	17200.645778882
444	240	17009.3533954341
446	240	17088.0736956451
448	240	16288.4124732658
450	240	16710.0710190372
452	240	15544.727323355
454	240	14947.0957526502
456	240	14551.2881298891
458	240	14851.4176524631
460	240	13976.6981405054
462	240	14997.0836442975
464	240	15355.5289874918
466	240	15181.9375357017
468	240	17135.8593293231
470	240	23656.9991364365
472	240	40383.9269091583
474	240	66088.4054645984
476	240	100182.903640437
478	240	136125.21421397
480	240	165536.285942224
482	240	174843.053617314
484	240	161058.653590337
486	240	136229.710598454
488	240	98940.7735746776
490	240	60411.177949778
492	240	30832.7923053118
494	240	16060.183987234
496	240	12006.7638108841
498	240	11475.7175501205
500	240	11288.0985793181
502	240	11313.7597268104
504	240	10658.5571395319
506	240	10081.7879825047
508	240	10564.7736966972
510	240	10414.0646849604
512	240	12462.9928668771
514	240	15586.6665258855
516	240	19149.3428969081
518	240	23798.3301255795
520	240	28890.1676377873
522	240	33711.3898813493
524	240	35930.763130515
526	240	34291.6790685304
528	240	31075.7276007382
530	240	26190.2785875695
532	240	20504.8854438482
534	240	14808.2694872011
536	240	11100.8656920304
538	240	7779.78090925792
540	240	5944.11313194465
542	240	6008.09145128194
544	240	5689.83101220319
546	240	5007.58909342657
548	240	5075.41900327043
