EM wavelength	EX wavelength	S1c/R1c
nm	nm	CPS / MicroAmps
300	240	133683.582832664
302	240	139162.416788313
304	240	141442.101775912
306	240	152277.573796545
308	240	166155.513486544
310	240	154539.629136197
312	240	145170.86676701
314	240	131663.021157431
316	240	125036.622711015
318	240	123651.857514339
320	240	119576.870184698
322	240	114981.940909849
324	240	118866.955784004
326	240	109664.96718968
328	240	105811.131528156
330	240	96125.0270327798
332	240	90380.0198292005
334	240	92145.6501973324
336	240	75371.5230192903
338	240	72470.7495528784
340	240	69387.0955008393
342	240	56478.2050430486
344	240	55081.425734685
346	240	49967.6181013679
348	240	47195.9336079285
350	240	40691.2625644445
352	240	41595.1552894778
354	240	40162.6570880087
356	240	34591.1751344194
358	240	35171.2892533981
360	240	37619.4077046989
362	240	34838.1864986503
364	240	33176.2642763966
366	240	32250.0008903736
368	240	31958.8963348299
370	240	32575.3058100435
372	240	33093.3379838222
374	240	29609.3623099461
376	240	30771.9541371455
378	240	32309.7474152091
380	240	33103.5970260981
382	240	33231.2296992432
384	240	35362.8749666965
386	240	33479.3307255907
388	240	32251.1635757876
390	240	36147.2288832221
392	240	37097.4839599617
394	240	40710.79057828
396	240	38925.5831142945
398	240	43708.4674021785
400	240	44176.4519807697
402	240	42988.6572695802
404	240	41621.519768945
406	240	43731.9244465747
408	240	41308.5343010726
410	240	44402.0731188876
412	240	42746.8293850897
414	240	42346.8670229644
416	240	43629.9128265646
418	240	44774.1166762873
420	240	42364.5730984034
422	240	40912.3017943798
424	240	40510.4374960662
426	240	42037.8917861569
428	240	41219.459903581
430	240	39232.845644012
432	240	41011.4179215756
434	240	41249.2997558305
436	240	40467.9339771169
438	240	39031.6782167052
440	240	38098.0867588529
442	240	37494.6684742163
444	240	36762.0349117222
446	240	36776.8564703717
448	240	34905.4790790331
450	240	35828.6090132139
452	240	33252.0712289912
454	240	31966.2783961917
456	240	31196.4420529523
458	240	32092.0429915301
460	240	30252.199570832
462	240	32844.4441835673
464	240	33901.1851402206
466	240	33677.8554602138
468	240	38514.1486172727
470	240	54369.4787626352
472	240	95776.0829256887
474	240	160342.473077784
476	240	246793.64646781
478	240	338678.325533232
480	240	415370.431151579
482	240	440722.155974488
484	240	407474.775625108
486	240	345542.321155974
488	240	251059.567719276
490	240	152759.99604691
492	240	76918.3153094096
494	240	38918.9275403944
496	240	28552.4398055824
498	240	27327.9062214211
500	240	26991.5498192959
502	240	27340.3023145226
504	240	25861.692508439
506	240	24571.5542269236
508	240	26166.3533315561
510	240	26033.1155332692
512	240	32130.5907837278
514	240	41435.262919707
516	240	52283.481431669
518	240	66648.1844520665
520	240	82717.4486502816
522	240	98248.3787733563
524	240	106220.393852735
526	240	102580.144541303
528	240	93978.820975347
530	240	79800.8938385244
532	240	62554.0884421485
534	240	44813.3483707313
536	240	33222.8140239236
538	240	22621.9659692778
540	240	16728.9984077967
542	240	17210.9596446894
544	240	16355.620150885
546	240	14170.938086221
548	240	14624.1705998672
550	240	12724.3557029536
552	240	12828.2528261429
554	240	13018.6594190242
556	240	10607.0599526216
558	240	10671.8144441986
560	240	13260.1131596886
300	250	77457.534031297
302	250	82201.0404103794
304	250	79093.7884678195
306	250	93263.7758625342
308	250	91032.3672235701
310	250	93222.494182219
312	250	90590.0412559196
314	250	85334.6417421639
316	250	83328.4135876098
318	250	87325.0099632659
320	250	80766.4695889379
322	250	86484.4959519997
324	250	80380.6024677604
326	250	77603.8698265671
328	250	75918.7698841548
330	250	71556.7191659205
332	250	66343.0578921369
334	250	68604.1604617352
336	250	60580.0061068494
338	250	56347.6542443823
340	250	49368.4577691346
342	250	48920.5326662727
344	250	44791.6415014863
346	250	40175.5788193515
348	250	38899.4380946828
350	250	33524.8386196149
352	250	32617.9141489885
354	250	30524.2179637921
356	250	28347.5017730085
358	250	26997.9984305872
360	250	26209.6370355165
362	250	24627.4669689179
364	250	23707.7492408522
366	250	22489.8450738174
368	250	23312.5644147459
370	250	22152.8517720748
372	250	21104.2711296012
374	250	21800.4485115814
376	250	21705.9223936941
378	250	21777.7038186903
380	250	21898.5485319709
382	250	21304.6531038959
384	250	22859.3136374117
386	250	23761.1931389812
388	250	23941.1808662433
390	250	23397.4255251915
392	250	24052.2408896911
394	250	23714.396735033
396	250	26231.7043877325
398	250	25034.0684676968
400	250	25088.3511037483
402	250	26647.1515095118
404	250	26285.4189965397
406	250	27498.9138539175
408	250	27604.0108929297
410	250	27958.9798696688
412	250	26763.7835276543
414	250	27793.577608871
416	250	27737.7698391252
418	250	29113.6104460536
420	250	28035.5951251225
422	250	28940.39429369
424	250	28338.2015776199
426	250	29690.8570748808
428	250	29500.868966145
430	250	29637.7493218284
432	250	29207.3759537004
434	250	29330.226539919
436	250	28909.6145570591
438	250	28208.425241124
440	250	29131.0199041245
442	250	28926.8667985826
444	250	28278.811105841
446	250	26765.4588970926
448	250	27378.8467238267
450	250	26539.8363838093
452	250	27102.3232785188
454	250	26770.9079338436
456	250	26931.7443937839
458	250	26647.3222801507
460	250	27165.1610428375
462	250	25015.3184577188
464	250	26960.923224261
466	250	25482.7363145249
468	250	25621.6334607895
470	250	25632.5890029456
472	250	25604.4114365943
474	250	25656.6675302783
476	250	25934.0693448498
478	250	24649.3235821248
480	250	23299.511602658
482	250	23140.0361127925
484	250	24016.1652930129
486	250	25687.8254964457
488	250	36962.0045725573
490	250	64737.9527482133
492	250	118488.557794089
494	250	187953.544880398
496	250	277289.390043973
498	250	363191.892576441
500	250	429798.083906075
502	250	436964.239650336
504	250	395121.197317214
506	250	319115.494976928
508	250	212489.205605104
510	250	123778.581576041
512	250	59625.0908801263
514	250	31416.7760670857
516	250	23012.9305802556
518	250	21848.2430907557
520	250	21002.2469026365
522	250	21777.8023556767
524	250	18917.6334016414
526	250	20294.9380759773
528	250	18361.8812566237
530	250	18591.4794904903
532	250	21263.0112347034
534	250	26781.3183822046
536	250	36403.3592586105
538	250	49102.4284206825
540	250	65043.2976140815
542	250	78380.0298845307
544	250	93237.5846841154
546	250	106179.427365776
548	250	108349.326287903
550	250	98338.0552554729
552	250	89059.1857100586
554	250	69924.240112931
556	250	52450.501713355
558	250	36263.9295902209
560	250	24969.5395334664
300	260	132261.404848049
302	260	126781.727655186
304	260	129377.717513206
306	260	131565.818562037
308	260	124865.344901384
310	260	122966.92699759
312	260	120481.066393781
314	260	114565.726052766
316	260	104864.026812512
318	260	108530.729499834
320	260	101150.130696506
322	260	94092.1097080355
324	260	91385.9115027566
326	260	87311.713526853
328	260	80585.540081325
330	260	74526.0656740747
332	260	70289.1945072999
334	260	68900.2551557405
336	260	60633.9719116197
338	260	55556.2946887158
340	260	49646.5922087092
342	260	45472.8910483445
344	260	41638.2213656571
346	260	37770.0330287755
348	260	34919.8170525325
350	260	31743.6163341392
352	260	29203.5498911347
354	260	26345.691182887
356	260	25108.7622043204
358	260	24007.416847656
360	260	21856.06158933
362	260	21537.8010107295
364	260	19283.3317689882
366	260	19189.8512106894
368	260	18269.6777586004
370	260	17671.6158937797
372	260	18163.8522924107
374	260	16829.4108268184
376	260	16994.9616533814
378	260	17673.2538570092
380	260	17153.7579059329
382	260	17483.0443903216
384	260	17830.2968258843
386	260	17655.5637763073
388	260	17170.543788349
390	260	18088.1955571639
392	260	17406.5677743203
394	260	18012.4661100528
396	260	18703.9576996051
398	260	19073.0357474513
400	260	19613.1113977394
402	260	18690.7720379809
404	260	19628.4243741888
406	260	18873.1255541285
408	260	19003.4612311639
410	260	20328.4127119915
412	260	20911.0076654281
414	260	20539.7568255383
416	260	20853.0761290609
418	260	20796.7507549573
420	260	20600.3041314448
422	260	19995.8251379413
424	260	20549.2227763936
426	260	20736.5765225848
428	260	20677.6526425817
430	260	21374.0528215575
432	260	20775.0269986201
434	260	21036.7133014069
