EM wavelength	EX wavelength	S1c/R1c
nm	nm	CPS / MicroAmps
300	240	33829.2987273121
302	240	38230.1036121506
304	240	39190.0497025638
306	240	42157.9183811729
308	240	44354.2808894507
310	240	41425.1383307334
312	240	46500.1061161042
314	240	45045.9374563758
316	240	47654.7085932249
318	240	62158.1480681797
320	240	53538.7385680562
322	240	44156.1742252648
324	240	52204.2399368879
326	240	51604.0887469461
328	240	49056.2166091086
330	240	42537.8720037067
332	240	44333.2414313404
334	240	37300.0302050261
336	240	38284.1033249444
338	240	42583.9591256687
340	240	36379.6194940514
342	240	35563.9764399898
344	240	25119.4735222143
346	240	24772.1371309546
348	240	21647.571370445
350	240	23480.3592104525
352	240	19419.5964136567
354	240	20157.2958725506
356	240	16153.5282609371
358	240	17501.91633084
360	240	14896.0735085505
362	240	15037.7120864609
364	240	14085.2156845834
366	240	13439.4621111031
368	240	12336.0146911022
370	240	9579.08791923147
372	240	11391.5263844375
374	240	8195.35451395766
376	240	8628.79868243142
378	240	8575.63756888938
380	240	9031.33810279399
382	240	6580.87551240164
384	240	6685.78414022148
386	240	8157.06069482154
388	240	7609.24239413575
390	240	7404.87219503288
392	240	6927.47485186507
394	240	5891.52481888301
396	240	6606.68618091952
398	240	6437.49314895132
400	240	5146.4021313542
402	240	5691.00447129002
404	240	7570.27739652651
406	240	6247.2033476077
408	240	5628.14650736101
410	240	4617.90988731627
412	240	6010.39500635453
414	240	4595.22773269524
416	240	5770.15243722087
418	240	4377.05881667819
420	240	5043.39066807968
422	240	3897.50796399262
424	240	3317.0846067159
426	240	4414.07368389768
428	240	4010.15165430479
430	240	4237.0022198318
432	240	3520.74805381708
434	240	3945.46980891157
436	240	3942.96152673352
438	240	2769.4728827969
440	240	3621.89876513621
442	240	3285.21257418737
444	240	3844.36439117148
446	240	3275.0388711414
448	240	3151.09012065944
450	240	3573.19710855467
452	240	3460.74535780268
454	240	2699.57915397156
456	240	3638.91505909661
458	240	2948.04109010932
460	240	3214.89697244482
462	240	2827.64341846863
464	240	3733.57363374882
466	240	4229.68833712932
468	240	9760.16945096256
470	240	26607.5172648545
472	240	59673.8698536127
474	240	112951.686476246
476	240	189594.93767624
478	240	259640.240026046
480	240	321135.82751459
482	240	341263.10743493
484	240	322952.794937425
486	240	265537.547374797
488	240	185736.473769368
490	240	103845.541155054
492	240	41195.6285468841
494	240	15766.7167936765
496	240	8289.79435040914
498	240	5217.56125403073
500	240	4963.43379373203
502	240	5084.36920073954
504	240	3553.9011268362
506	240	4791.69999467813
508	240	6493.94990083408
510	240	9281.47253705268
512	240	13503.9592385098
514	240	24385.2250888037
516	240	35088.5929568483
518	240	48788.3738276487
520	240	67178.9447727853
522	240	78603.4684036781
524	240	93964.1855459996
526	240	90787.1687536183
528	240	80715.3259613658
530	240	68155.598658178
532	240	49844.2340809041
534	240	33917.1372071026
536	240	17834.7378321578
538	240	10001.6850590795
540	240	6327.62141551251
542	240	4941.79171597616
544	240	4500.19899740744
546	240	3996.60032953872
548	240	3813.96095051564
550	240	2786.61523366514
552	240	4429.22613698301
554	240	3432.69038076324
556	240	2559.9953770609
558	240	2705.2983043983
560	240	3275.33801861059
300	250	28325.2736518872
302	250	35657.1977810427
304	250	36254.4886695887
306	250	39495.0732973673
308	250	44486.7736843161
310	250	45653.5061927878
312	250	45035.5284490633
314	250	45215.9283305449
316	250	52226.1808583907
318	250	46459.1530568521
320	250	48181.4224740245
322	250	52081.4892213003
324	250	50517.9198872386
326	250	46655.8024407984
328	250	44059.9124297241
330	250	42608.889488871
332	250	40721.9976740245
334	250	38535.5797414838
336	250	37076.002550475
338	250	31920.263467631
340	250	33428.0398370288
342	250	28059.5772058233
344	250	27549.3006614587
