EM wavelength	EX wavelength	S1c/R1c
nm	nm	CPS / MicroAmps
300	240	64573.9013961019
302	240	76702.8426907213
304	240	90075.1914844217
306	240	94199.4527126548
308	240	93821.6712228607
310	240	90052.6003062908
312	240	98365.5286336502
314	240	104441.984399927
316	240	91858.2766719053
318	240	82169.4593208795
320	240	92695.4471666448
322	240	98391.0840286753
324	240	87966.0702474265
326	240	80110.4600293131
328	240	95162.4160961407
330	240	90041.7500426119
332	240	82086.2192521758
334	240	77777.4842738761
336	240	74502.117841614
338	240	73240.5083547002
340	240	61882.3577733115
342	240	59114.3976240307
344	240	55723.5022535044
346	240	48436.0253219538
348	240	46800.351453789
350	240	49247.7560919914
352	240	40651.6863673367
354	240	36762.270610798
356	240	36098.2417749954
358	240	31355.1817910763
360	240	33057.2693416019
362	240	33622.2968207428
364	240	29460.6959217304
366	240	25118.6867812371
368	240	24215.2569849076
370	240	21705.4118548839
372	240	20341.0565349848
374	240	20943.6932424117
376	240	20189.3230435093
378	240	18547.5000932409
380	240	19326.9832838269
382	240	20012.3209965917
384	240	18964.0407809105
386	240	17637.0848552064
388	240	17101.6307810926
390	240	17310.4960807498
392	240	16979.3283597605
394	240	16967.5078683374
396	240	16160.5755264635
398	240	14379.1105269757
400	240	16041.3543780489
402	240	16396.1872403734
404	240	17033.7452523014
406	240	15403.8938153808
408	240	14791.0626797538
410	240	16840.88822004
412	240	14688.2889503735
414	240	15856.0786722837
416	240	14615.6151365061
418	240	14078.9089800054
420	240	14663.6173086829
422	240	13685.2389320216
424	240	13355.7086454438
426	240	14112.6844629806
428	240	13660.9333889372
430	240	14516.2338224286
432	240	12491.4615129079
434	240	12816.3827010954
436	240	13495.1246140556
438	240	12836.9564285565
440	240	11070.4477288756
442	240	11542.370413341
444	240	11891.0810701689
446	240	10823.7552199674
448	240	11542.7577057374
450	240	11717.758491904
452	240	9808.48289343216
454	240	11613.6896804758
456	240	10281.2465207448
458	240	10221.0221291228
460	240	8260.46289254786
462	240	10481.8251073444
464	240	10765.4126502083
466	240	10477.2368804653
468	240	15195.6519963975
470	240	33882.7861007362
472	240	71489.4475794737
474	240	123350.159383874
476	240	207553.574948758
478	240	297611.263200842
480	240	357984.443049193
482	240	394294.963066465
484	240	359298.498953655
486	240	299581.78772148
488	240	212604.010429625
490	240	125459.073700886
492	240	54455.0950896093
494	240	22401.7805923808
496	240	12491.612461333
498	240	10430.4368983694
500	240	10660.0840436815
502	240	8743.03576617017
504	240	9808.31020318554
506	240	10062.7366672085
508	240	10759.1020910192
510	240	12918.4756086258
512	240	19837.1356000582
514	240	28526.3917362663
516	240	43296.6577820384
518	240	54348.093190784
520	240	69629.8258702187
522	240	86325.9072979027
524	240	90089.8873354483
526	240	94835.5441437663
528	240	85629.8679914226
530	240	73082.1345256293
532	240	58459.9796412464
534	240	37238.8194156276
536	240	24724.5832787811
538	240	15909.5419068151
540	240	11249.9864558773
542	240	10594.9056310677
544	240	10525.2526222417
546	240	9583.40974766529
548	240	9775.83573713223
550	240	11372.2611567558
552	240	8578.0857719894
554	240	9867.81454060783
556	240	7666.08602030271
558	240	10389.7478642104
560	240	8380.29232895261
300	250	67600.2906991237
302	250	71820.0827073624
304	250	74989.5116196539
306	250	85386.2722799094
308	250	82929.9214243949
310	250	93357.9229087957
312	250	90359.0577781739
314	250	94120.7757243133
316	250	91326.0542601687
318	250	93652.6488232016
320	250	93688.6183579813
322	250	93735.5014319489
324	250	89053.308178723
326	250	96420.626367464
328	250	87414.1161516058
330	250	87961.4453859196
332	250	81020.8075534737
334	250	72407.5218485798
336	250	71358.6219086249
338	250	62320.0468611756
340	250	60960.5062377869
342	250	54110.6221124954
344	250	49309.0820685753
346	250	42514.5489032341
348	250	42509.1982248274
350	250	36829.2396373392
352	250	36753.8360274549
354	250	31201.5088412651
356	250	28499.7619796786
358	250	26646.2434331845
360	250	24756.6970234003
362	250	23872.9472312089
364	250	22105.9218238638
366	250	19315.2552007004
368	250	18083.5494968591
370	250	16956.1413979221
372	250	17055.7647215665
374	250	15813.499941603
376	250	15055.7324037304
378	250	15409.6821478274
380	250	14519.2601546894
382	250	12713.4172629829
384	250	12559.1911271325
386	250	11857.0836714984
388	250	12650.1577440905
390	250	11694.559917835
392	250	11251.8822901626
394	250	11208.2232178387
396	250	11616.2899488176
398	250	11141.4957363389
400	250	11240.2567435874
402	250	10710.6283710842
404	250	11324.5211959708
406	250	11077.1100539607
408	250	10592.6569286086
410	250	10508.1627483044
412	250	10500.11987021
414	250	11153.8520780542
416	250	10793.1358385245
418	250	9874.35920106047
420	250	10101.5897221058
422	250	9567.75001046444
424	250	10448.1104167387
426	250	10257.8821241259
428	250	10115.4990089325
