EM wavelength	EX wavelength	S1/R1
nm	nm	CPS / MicroAmps
300	240	9505.79975880357
302	240	8733.81993337801
304	240	9654.61670893147
306	240	11105.9154649243
308	240	10943.6590842746
310	240	11610.3972032127
312	240	11811.5617825237
314	240	12024.5206751228
316	240	12277.3471956358
318	240	12454.6153349528
320	240	13363.4604479409
322	240	13490.8795451441
324	240	13976.9300512869
326	240	12771.558287534
328	240	13364.8379810483
330	240	14079.7746877432
332	240	14108.3037395507
334	240	13410.2440714125
336	240	13639.3839122036
338	240	13782.4797086446
340	240	12656.8162599908
342	240	13116.086068502
344	240	13185.8507342987
346	240	12475.9418210042
348	240	12840.2378938559
350	240	12526.5364784133
352	240	13402.9048929611
354	240	12408.0637531153
356	240	12514.1037675938
358	240	11848.0271164193
360	240	13030.3664227023
362	240	13051.493437616
364	240	12672.647166434
366	240	13150.8414718269
368	240	12935.675656345
370	240	13537.4246235377
372	240	13975.8251704912
374	240	13194.8760234769
376	240	14438.1867309055
378	240	14064.4733333487
380	240	16314.5639183855
382	240	15854.8473643293
384	240	15790.8739576814
386	240	16706.2574649097
388	240	17163.0825655764
390	240	17850.3104971559
392	240	17753.3937953145
394	240	19145.2516859486
396	240	18532.78875641
398	240	19675.1922113241
400	240	20350.828396695
402	240	19919.0713939179
404	240	20006.7437427725
406	240	20156.8904778476
408	240	20556.5691392474
410	240	20837.1814721098
412	240	20897.7171676992
414	240	21652.6839644433
416	240	21182.6203222461
418	240	22464.4565681895
420	240	22211.1755080031
422	240	22169.3622555877
424	240	22960.0940077002
426	240	22801.2063234407
428	240	22173.5441515592
430	240	22764.1697254233
432	240	21310.3457178609
434	240	22502.1681994178
436	240	22397.5695788245
438	240	21217.6829163171
440	240	20837.9483686279
442	240	20633.4220611865
444	240	20755.0060079047
446	240	20588.4817107676
448	240	20678.6855435536
450	240	20433.563650773
452	240	20395.800338005
454	240	20445.2344483191
456	240	19431.2386034238
458	240	18411.4890640707
460	240	18397.7068197525
462	240	18739.3154272447
464	240	18578.2611053974
466	240	19581.5776409009
468	240	22792.6900059077
470	240	35401.0692452772
472	240	60244.3943426276
474	240	100487.769347094
476	240	154991.565692593
478	240	223747.862156169
480	240	279163.646229296
482	240	311363.503903457
484	240	305528.159892842
486	240	269354.914955301
488	240	188984.931330075
490	240	107142.776690573
492	240	49339.7194009274
494	240	24613.7245514304
496	240	16655.7661940423
498	240	14678.7855716179
500	240	13783.695897451
502	240	13996.8994923896
504	240	14046.0184838737
506	240	12753.2491502792
508	240	13400.8026407976
510	240	13175.1406755546
512	240	15847.6901641107
514	240	18741.9976731388
516	240	22033.5298254005
518	240	26654.5644100109
520	240	30758.534186974
522	240	35965.1717424647
524	240	37590.5014767605
526	240	37292.6498859115
528	240	33157.9739012801
530	240	29532.8097035378
532	240	23521.3051483552
534	240	18359.9905672642
536	240	13932.7174880229
538	240	10925.8008474338
540	240	9225.37330387165
542	240	8773.61095032265
544	240	8407.89223679399
546	240	7785.17146911486
548	240	7755.66044690869
550	240	7606.12757682312
552	240	7736.86345469529
554	240	7017.50500403462
556	240	7496.5057991107
558	240	6687.92418320583
560	240	6550.62044688571
300	250	5759.62193796265
302	250	6650.49434638092
304	250	6917.5084486925
306	250	7578.53246368473
308	250	7983.11331149878
310	250	9039.24655725971
312	250	9687.1117829093
314	250	10222.3620789262
316	250	9855.2742018412
318	250	10568.222414356
320	250	11061.0798610326
322	250	11338.0969200527
324	250	11894.4377001242
326	250	11769.3773514628
328	250	12227.9011341661
330	250	12007.9093244417
332	250	11786.2990725244
334	250	11801.0681269327
336	250	11522.5435880391
338	250	11522.455686881
340	250	11458.1342812733
342	250	11053.274385798
344	250	10586.4803184191
346	250	10551.5536374268
348	250	11123.4884993093
350	250	9686.44807859901
352	250	10079.4333761361
354	250	9991.70766054992
356	250	9841.41053064617
358	250	9664.829912918
360	250	9850.21710045801
362	250	9325.87398043147
364	250	9737.8405563006
366	250	9608.21634065978
368	250	10084.1771192868
370	250	9317.91476793097
372	250	9853.17232365685
374	250	9418.62601620421
376	250	9732.94743485444
