EM wavelength	EX wavelength	S1c/R1c
nm	nm	CPS / MicroAmps
300	240	235738.750504222
302	240	207078.302172363
304	240	222733.980935542
306	240	248978.697814404
308	240	234214.927119485
310	240	238140.05035698
312	240	226862.383486718
314	240	215235.980891648
316	240	207833.401183786
318	240	202780.483658155
320	240	209736.270925207
322	240	204617.237791501
324	240	204944.402569408
326	240	178319.381967279
328	240	177979.034248002
330	240	178398.786501512
332	240	169117.106467447
334	240	151050.594839771
336	240	144715.357623404
338	240	137385.697238124
340	240	117256.343709648
342	240	114540.473613654
344	240	107874.573125257
346	240	95378.3181279311
348	240	92516.0133774083
350	240	84394.8770212144
352	240	85634.3742346871
354	240	74157.8345768168
356	240	70845.9753345821
358	240	63735.5532010394
360	240	67189.2772026792
362	240	64116.4736902584
364	240	59035.7473605526
366	240	58606.7233377419
368	240	55207.5483945371
370	240	55462.6274657949
372	240	54831.4784583205
374	240	49176.3515289632
376	240	51910.736531685
378	240	48734.2990323412
380	240	54983.2985671001
382	240	51699.7228436592
384	240	49836.4120852116
386	240	51485.3935977828
388	240	51872.7439136619
390	240	52915.6656280083
392	240	51823.7270640127
394	240	55232.8797203827
396	240	52620.9445067657
398	240	55275.0104370006
400	240	56486.8698320694
402	240	54478.9440608167
404	240	53967.8348990219
406	240	53708.1023493818
408	240	54209.3041324521
410	240	54362.2280622608
412	240	53953.3887070629
414	240	55390.3867755899
416	240	53512.5535728512
418	240	56172.6522551312
420	240	54809.655764952
422	240	54080.7047944207
424	240	55441.8861578143
426	240	54481.5679035949
428	240	52453.9784803929
430	240	53423.5849608707
432	240	49490.8839149466
434	240	51961.476751652
436	240	51275.6766803282
438	240	48033.2527736131
440	240	46711.0993651031
442	240	45874.9937349288
444	240	45796.4007896941
446	240	45208.6852089724
448	240	45363.5100348802
450	240	44751.7118103704
452	240	44781.3877091549
454	240	45010.9981477867
456	240	42874.1436253166
458	240	40780.4213084225
460	240	41006.6116784967
462	240	42071.7280974342
464	240	41957.4000519741
466	240	44579.7634192312
468	240	52475.2645176031
470	240	83024.663351968
472	240	144552.393566868
474	240	245573.816791629
476	240	383668.127740594
478	240	558806.598034665
480	240	702727.670066597
482	240	787366.209482178
484	240	775790.626715557
486	240	686244.844410363
488	240	482422.196611687
490	240	273454.353087026
492	240	125151.479391623
494	240	61534.2751814068
496	240	41114.4576721492
498	240	36180.7422898199
500	240	34033.9251621237
502	240	34954.2425931177
504	240	35444.835455061
506	240	32312.5220527027
508	240	34444.8432548893
510	240	34192.7914022561
512	240	42150.0377573837
514	240	50931.9565785725
516	240	61128.1354161589
518	240	75540.7419676761
520	240	88804.592230369
522	240	105571.934792757
524	240	111826.289394967
526	240	112397.291883064
528	240	101060.763082487
530	240	90978.7435306976
532	240	72825.7698879
534	240	56953.5237255914
536	240	43161.1118694225
538	240	33769.8800743268
540	240	28510.7884253289
542	240	27391.0013837824
544	240	26527.1648692245
546	240	24705.6769206063
548	240	24963.6193526816
550	240	24778.3922389141
552	240	25658.8618316532
554	240	23337.568184361
556	240	25541.1738974338
558	240	22780.6184120216
560	240	22585.9950563481
300	250	132031.265392684
302	250	148249.333988803
304	250	148818.725681718
306	250	157158.90903613
308	250	158604.167364667
310	250	172162.476950102
312	250	172986.939332643
314	250	170210.848723032
316	250	154752.237000259
318	250	159821.720437785
320	250	160683.073555734
322	250	159189.404356017
324	250	161304.871854806
326	250	152863.768631831
328	250	151167.063669906
330	250	140686.580750248
332	250	130551.016158048
334	250	123244.751637572
336	250	113143.058418198
338	250	106224.154360121
340	250	98732.7933046112
342	250	89453.8930281904
344	250	80120.8978809481
346	250	74911.3428651031
348	250	74397.9564413823
350	250	60407.8855838981
352	250	59411.7394728546
354	250	55375.5019900419
356	250	51605.1955727646
358	250	48322.5788158492
360	250	46913.0179808239
362	250	42225.4717303385
364	250	41963.2572042719
366	250	39487.2354581789
368	250	39801.8198829703
370	250	35096.0957527025
372	250	35538.4090186418
374	250	32340.401320445
376	250	32089.4101413555
378	250	31340.4167411111
380	250	33457.2860155886
382	250	34182.1367404089
384	250	31517.9219406927
386	250	31949.8813204795
388	250	32879.0160030946
390	250	32326.7538870829
392	250	32607.70823509
394	250	34192.8698572712
396	250	34263.9814442285
398	250	35515.276251358
400	250	33439.3826205701
402	250	33380.472908588
404	250	34724.4909972091
406	250	35141.698655084
408	250	34842.0201306811
410	250	35484.0166970465
412	250	36422.6511199559
414	250	36234.889457073
416	250	35025.0593810781
418	250	35677.3160602518
420	250	36685.8655401549
422	250	36102.0738537109
424	250	36254.3675183813
426	250	35407.6717538447
428	250	37698.8156173908
430	250	35105.3918016889
432	250	36045.9499234561
434	250	35957.0484027308
436	250	34933.2653021261
438	250	36736.40220619
440	250	34931.5075876104
442	250	35590.489020218
444	250	35476.0122417779
446	250	33873.9407165986
448	250	35442.2766419844
450	250	34952.3342097293
452	250	34663.811419681
454	250	34446.1789685656
456	250	34941.7291833993
458	250	35337.3169919018
460	250	35435.6362704351
462	250	34399.027822675
464	250	34864.3858310136
466	250	34734.0359935336
468	250	35367.4316665167
470	250	34552.8555166082
472	250	34508.7786951905
474	250	35178.0830504599
476	250	31960.9530831101
478	250	32723.9936071563
480	250	33241.2151371094
482	250	33017.0245901714
484	250	33143.5010613756
486	250	35394.486027694
488	250	54232.6259454223
490	250	99829.4963965403
492	250	189370.681090969
494	250	315502.109902561
496	250	476964.148731242
498	250	626900.50957879
500	250	732623.016106556
502	250	737883.868253637
504	250	667270.13617723
506	250	536075.9978385
508	250	366970.284802385
510	250	207588.911197333
512	250	99700.0642925721
514	250	43981.5034382883
516	250	33875.6207718792
518	250	31855.5505403845
520	250	31205.7964014
522	250	29134.4907936223
524	250	30912.6602813348
526	250	31409.6613840837
528	250	30688.8599341933
530	250	31792.4570010666
532	250	32822.99215898
534	250	40761.6718359263
536	250	50696.5984130017
538	250	59503.517609218
540	250	80394.8703511922
542	250	94673.595723484
544	250	108444.692942072
546	250	115728.039986085
548	250	120055.557329542
550	250	114042.717120296
552	250	105741.624151336
554	250	87391.5790749361
556	250	70679.1094494978
558	250	55906.4290849419
560	250	44046.9610321083
300	260	236730.542759865
302	260	241308.886530774
304	260	231446.746408225
306	260	240159.416752054
308	260	234934.606692469
310	260	227358.454070021
312	260	215946.381703304
314	260	208241.358377082
316	260	198290.763939287
318	260	191468.695805759
320	260	184237.124456906
322	260	177047.988056439
324	260	170837.391661181
326	260	162987.036014688
328	260	154412.099580245
330	260	144349.190944329
332	260	132121.51495401
334	260	125464.365623928
336	260	116185.113653769
338	260	106828.938154741
340	260	97121.3363918593
342	260	88800.6438271418
344	260	78103.5748701313
346	260	69743.4455206381
348	260	64337.4409727009
350	260	58951.9771627388
352	260	54104.6111984118
354	260	49432.1758126513
356	260	45426.3588022635
358	260	42885.0845391572
360	260	40236.4121435976
362	260	36242.7538079902
364	260	35124.8188608379
366	260	34355.3182605341
368	260	32041.8052862679
370	260	30371.3455802328
372	260	28630.8864647834
374	260	28476.021111747
376	260	26699.5470437075
378	260	27377.6794296788
380	260	25979.287141725
382	260	25677.8426516234
384	260	25286.8937503589
386	260	26081.5952335249
388	260	25780.6835084262
390	260	26434.4669129045
392	260	25621.966890162
394	260	25839.3296167089
396	260	25712.4181681571
398	260	25717.6387527353
400	260	26531.6068901278
402	260	27252.2664063845
404	260	26021.1669311244
406	260	27066.5670329522
408	260	26924.8095368983
410	260	27688.4776224108
412	260	27383.9975169224
414	260	27543.111996759
416	260	27813.0054203952
418	260	28106.6892160012
420	260	26843.6462619386
422	260	27481.6889397057
424	260	28409.4584462659
426	260	29133.458635107
428	260	27387.9171709595
430	260	27302.7481626632
432	260	27184.9560869061
434	260	27563.2820179824
436	260	27893.276250753
438	260	27883.938885112
440	260	27423.8595693841
442	260	26599.1049022939
444	260	26951.6001340579
446	260	27464.6354008036
448	260	27474.0427688978
450	260	26610.7740355381
452	260	27447.7954192911
454	260	26815.342639002
