EM wavelength	EX wavelength	S1c/R1c
nm	nm	CPS / MicroAmps
300	240	98357.6356430227
302	240	97919.49466826
304	240	123111.747848533
306	240	126259.232527506
308	240	133343.279872388
310	240	138236.414425659
312	240	143681.784164105
314	240	147058.817831409
316	240	154931.525817248
318	240	144408.238194742
320	240	146594.085971614
322	240	153372.013464884
324	240	138838.383106984
326	240	139171.904097491
328	240	139936.11567899
330	240	130613.438972941
332	240	118760.951360761
334	240	124024.833962892
336	240	110526.241824358
338	240	102884.746662477
340	240	93109.8561063576
342	240	90907.5486432961
344	240	85670.4593205012
346	240	78563.097220443
348	240	74526.416988344
350	240	71210.336718941
352	240	66606.4419030741
354	240	65972.4513168618
356	240	62030.8057233345
358	240	60448.0835058719
360	240	63067.1837090681
362	240	59887.3841192313
364	240	52006.9374126865
366	240	49775.4179838869
368	240	46668.5382803638
370	240	41858.5142971144
372	240	39635.2788988529
374	240	35822.2886312194
376	240	33985.3088626015
378	240	31854.5485440797
380	240	29614.6908262269
382	240	28878.1012845176
384	240	29072.8113793641
386	240	24963.4174284503
388	240	26815.2687711718
390	240	24307.2799437868
392	240	27675.566672287
394	240	25155.8124632952
396	240	26095.8111256573
398	240	25378.5175702622
400	240	25909.0380332391
402	240	26400.2786503964
404	240	25249.5695482647
406	240	24589.5335228152
408	240	25713.6522572064
410	240	25343.2091379348
412	240	24830.526983827
414	240	25543.7906478287
416	240	26160.656825275
418	240	23148.6294721796
420	240	23122.604275896
422	240	22853.3702729029
424	240	24894.1553885395
426	240	21730.0171884704
428	240	24494.7678277452
430	240	22893.475323703
432	240	22600.1185062106
434	240	20629.9289053532
436	240	23404.3508719369
438	240	22501.2960872349
440	240	21549.2787930489
442	240	19246.6349175012
444	240	19532.9284825619
446	240	19590.9497935637
448	240	18350.8678357026
450	240	19120.9822216369
452	240	20088.1890900126
454	240	19718.1057495413
456	240	18652.9387183619
458	240	19222.9410783644
460	240	19349.2419279951
462	240	17539.3113307469
464	240	18320.2673610378
466	240	19808.0023992445
468	240	25335.9876742496
470	240	47952.6643182013
472	240	92288.0634126782
474	240	163288.105202603
476	240	269514.918316102
478	240	385070.156056399
480	240	471951.887045557
482	240	501846.383096137
484	240	476784.295904351
486	240	388925.133947764
488	240	272416.807967979
490	240	160559.548953462
492	240	75105.6413535047
494	240	34121.3946394526
496	240	21144.4207582963
498	240	17526.1042429032
500	240	16148.0112325351
502	240	16637.8376650004
504	240	15269.6498068012
506	240	14958.4280801411
508	240	17332.0774403159
510	240	17555.2088855502
512	240	22634.0275584511
514	240	35465.3039268883
516	240	44317.628826594
518	240	60668.5097895142
520	240	74891.6854179465
522	240	90211.4264281438
524	240	98676.4063191154
526	240	96367.6609960186
528	240	89993.8602966736
530	240	78221.6349392102
532	240	61345.2441024542
534	240	46564.5775426207
536	240	31066.8207299909
538	240	20167.0160562431
540	240	15606.2043915036
542	240	17390.41722481
544	240	14177.788205228
546	240	13875.9673683245
548	240	11707.4940312239
550	240	15611.0624604269
552	240	12671.6223004674
554	240	12156.8292230805
556	240	15281.1477323851
558	240	14157.5133023084
560	240	12084.6740562182
300	250	72901.383668676
302	250	92662.0689061586
304	250	96857.6988709736
306	250	105037.072270999
308	250	125424.06724083
310	250	126319.09906478
312	250	130469.801745907
314	250	131705.583339779
316	250	136430.227435466
318	250	140915.327308736
320	250	133795.645614588
322	250	140954.035893379
324	250	137064.265730551
326	250	127211.724881046
328	250	127193.067170045
330	250	123031.659032946
332	250	114064.964323452
334	250	109805.360383324
336	250	96789.0296824553
338	250	87735.8881726118
340	250	83831.1901898802
342	250	75067.0087617414
344	250	67646.8902504344
346	250	66398.6968102527
348	250	59082.9427737053
350	250	53362.4112389679
352	250	48156.2363518262
354	250	44765.6393535939
356	250	40456.8753569335
358	250	36176.5519850758
360	250	35862.8048365717
362	250	32011.322239568
364	250	31042.2799390437
366	250	28626.9902635832
368	250	26886.1455913369
370	250	25279.3943054118
372	250	23904.9381522564
374	250	22490.3713603121
376	250	21149.0720094355
378	250	20379.1115686268
380	250	20456.1724264709
382	250	19593.0343084797
384	250	17852.2878951362
386	250	19541.3996452666
388	250	17675.5226295523
390	250	17428.1452834076
392	250	16999.6483906578
394	250	17219.4665852132
396	250	17466.0016670408
398	250	17920.5380956315
400	250	17872.5331329673
402	250	17064.6337041016
404	250	16486.0858915638
406	250	17064.9047916853
408	250	16392.2776382856
410	250	16773.1117675152
412	250	17295.6947997306
414	250	16330.5738644152
416	250	17703.5251555766
418	250	17373.2152020883
420	250	17564.6986398287
422	250	16947.1544810714
424	250	16268.1689908037
426	250	16377.2915038377
428	250	15508.9701096272
430	250	16835.8250497617
432	250	15907.7576054128
434	250	16335.0449847024
436	250	15763.4981450645
438	250	16303.1175902207
440	250	15221.2256369488
442	250	16367.5572771287
444	250	15308.0820822309
446	250	16051.4121910223
448	250	14752.4251745348
450	250	15524.4501407506
452	250	15292.1225880819
454	250	15424.3632059168
456	250	15343.025768463
458	250	15336.477734226
460	250	14748.8171363987
462	250	15167.2907156458
464	250	14866.0150718088
466	250	15558.2018148882
468	250	15366.5766761857
470	250	15109.7651033048
472	250	15378.6244319615
474	250	14448.9121625487
476	250	14193.0784836594
478	250	14604.5482654594
480	250	14978.7310226266
482	250	14495.5801905485
484	250	15418.2959059692
486	250	16536.4604938591
488	250	29841.5253072362
490	250	60592.1713747234
492	250	120080.002898008
494	250	209294.150598027
496	250	313709.30231308
498	250	420542.924204795
500	250	496776.287394179
502	250	514014.157636295
504	250	460466.750618145
506	250	360777.075359514
508	250	244900.09076699
510	250	138307.370923689
