EM wavelength	EX wavelength	S1/R1
nm	nm	CPS / MicroAmps
300	240	2182.37964525079
302	240	2395.30369356272
304	240	2489.01109550345
306	240	2676.48497443347
308	240	2851.91635364969
310	240	2812.41125660803
312	240	3187.51237980391
314	240	3278.74790940742
316	240	3560.52683727804
318	240	4497.68744075089
320	240	4134.26391240164
322	240	3668.34785064025
324	240	4284.29117361326
326	240	4390.50060261405
328	240	4389.86573513385
330	240	4094.62072560055
332	240	4415.84861243301
334	240	4041.86898087337
336	240	4323.89744682759
338	240	4948.45483751056
340	240	4603.43869950134
342	240	4748.55091055224
344	240	3812.38425063415
346	240	3959.40463743648
348	240	3745.42176253485
350	240	4189.03097714035
352	240	3786.7456289336
354	240	4082.02833350168
356	240	3599.61408494067
358	240	3960.1403242319
360	240	3640.63808220371
362	240	3802.20699769022
364	240	3761.07743667922
366	240	3761.11183869775
368	240	3640.90486643778
370	240	3131.20311115273
372	240	3667.07779397778
374	240	2997.10365226271
376	240	3198.71859284904
378	240	3265.29041652613
380	240	3480.27862095962
382	240	2849.51349825703
384	240	2944.27048025329
386	240	3451.92767912884
388	240	3333.08474716713
390	240	3318.82809590119
392	240	3199.78131356476
394	240	2891.5189329201
396	240	3160.55669544361
398	240	3132.49318377719
400	240	2716.26190892206
402	240	2932.17944052952
404	240	3627.16282861492
406	240	3185.6939626045
408	240	2986.30858726372
410	240	2638.13310490654
412	240	3173.59325610442
414	240	2666.66809754039
416	240	3132.43593541504
418	240	2624.37719574541
420	240	2905.84460678711
422	240	2476.29372376469
424	240	2263.00688591924
426	240	2718.88089900663
428	240	2570.10294628588
430	240	2678.26227144555
432	240	2395.03360915207
434	240	2584.20379872988
436	240	2596.84035686381
438	240	2113.61377230382
440	240	2489.70322237518
442	240	2357.04634833584
444	240	2611.13509890419
446	240	2370.08325157608
448	240	2318.1624107303
450	240	2503.76854499168
452	240	2450.86593239454
454	240	2115.18912708642
456	240	2517.22985126731
458	240	2209.92932319662
460	240	2315.53999548469
462	240	2142.54943246608
464	240	2517.97776326541
466	240	2717.10418444176
468	240	5021.76797963273
470	240	12013.7325994093
472	240	25459.8114634878
474	240	46769.3367777878
