EM wavelength	EX wavelength	S1/R1
nm	nm	CPS / MicroAmps
300	240	3113.10139882868
302	240	3662.74443575831
304	240	4303.08964465966
306	240	4622.56948624025
308	240	4786.11285869749
310	240	4811.6483832568
312	240	5495.80534393695
314	240	6165.54743603555
316	240	5794.05677655211
318	240	5445.56163775809
320	240	6273.56332127247
322	240	6821.62796948774
324	240	6377.09343173536
326	240	6098.90866016724
328	240	7434.7302093082
330	240	7420.33677790176
332	240	7178.32639323687
334	240	7210.76462878799
336	240	7327.25938459654
338	240	7637.64601580871
340	240	6973.64647102254
342	240	7073.68311275926
344	240	7115.63456029653
346	240	6647.27743797805
348	240	6808.90415596888
350	240	7557.21984221171
352	240	6702.4240241733
354	240	6472.90703434132
356	240	6686.45444365472
358	240	6153.97541598232
360	240	6735.43848196133
362	240	7141.59965097225
364	240	6642.81821916189
366	240	6014.93662144839
368	240	6044.15776736926
370	240	5708.03654677062
372	240	5611.66614429933
374	240	6000.1927948242
376	240	6027.30856878905
378	240	5771.57103891185
380	240	6178.64354127
382	240	6550.86647918072
384	240	6427.80184140454
386	240	6174.17665803742
388	240	6120.47287447944
390	240	6303.25603496198
392	240	6280.46791213519
394	240	6362.57637976594
396	240	6172.70650211238
398	240	5639.20764375612
400	240	6279.93636299078
402	240	6481.27059003718
404	240	6788.56774728629
406	240	6279.35308037131
408	240	6118.87938731086
410	240	6933.81280904009
412	240	6199.76859398412
414	240	6697.2548780627
416	240	6295.52766016461
418	240	6159.27750297955
420	240	6457.17575350824
422	240	6137.23224883204
424	240	6068.3520648451
426	240	6428.21372136092
428	240	6295.60479712461
430	240	6696.69297559183
432	240	5906.1964645507
434	240	6082.78130461473
436	240	6412.98511376135
438	240	6185.16950523321
440	240	5479.15580286518
442	240	5719.68233975648
444	240	5910.82431852675
446	240	5468.02104338243
448	240	5787.59268117969
450	240	5870.17706605138
452	240	5022.932757651
454	240	5797.83698267316
456	240	5197.78846325399
458	240	5143.47534491927
460	240	4276.92906886355
462	240	5199.140380109
464	240	5290.66723678318
466	240	5144.3126625144
468	240	7096.21686849269
470	240	14842.4035705601
472	240	30115.1440549686
474	240	50787.8744392005
476	240	84124.4902439509
478	240	119447.393808236
480	240	142513.541383829
482	240	156236.419856162
484	240	141841.578886586
486	240	117953.2314111
488	240	83651.2145037983
490	240	49507.4395331857
492	240	21840.2463471936
494	240	9393.36849252783
496	240	5544.21902656587
498	240	4728.57987803387
500	240	4792.72826737736
502	240	4029.57429946468
504	240	4393.2496307231
506	240	4448.85742254286
508	240	4662.33700429526
510	240	5398.89086708062
512	240	7800.58301120786
514	240	10763.3045985148
516	240	15746.7218840268
518	240	19307.717538145
520	240	24193.2226653579
522	240	29456.385530412
524	240	30341.5663867362
526	240	31491.4393069595
528	240	28117.5768573207
530	240	23783.257833511
532	240	18941.7578384154
534	240	12191.2524116494
536	240	8236.52187296027
538	240	5489.04245936733
540	240	4046.92532777977
542	240	3806.97761444577
544	240	3741.18879396923
546	240	3432.08653397364
548	240	3446.47678988328
550	240	3842.42103473842
552	240	3044.27401730643
554	240	3349.50468670935
556	240	2736.59902632186
558	240	3404.42993801941
560	240	2856.97451974764
300	250	3070.87844350327
302	250	3353.13720749104
304	250	3610.25123926365
306	250	4228.7605268889
308	250	4292.24209558113
310	250	5013.27344176871
312	250	5178.39689906806
314	250	5760.53636547103
316	250	5911.12774010576
318	250	6289.60377956528
320	250	6547.00204418564
322	250	6772.29753844435
324	250	6675.12481188453
326	250	7505.51893912362
328	250	7170.53044108787
330	250	7591.38444130861
332	250	7399.9075350562
334	250	7029.63660188156
336	250	7349.05480884575
338	250	6856.800053409
340	250	7161.03690103046
342	250	6776.66500983863
344	250	6602.29809954645
346	250	6091.46032731956
348	250	6457.49214486386
350	250	5994.66582133957
352	250	6321.35434739194
354	250	5734.45128253132
356	250	5543.36463698387
358	250	5438.04549542279
360	250	5314.68408927487
362	250	5376.51324956131
364	250	5246.63689866505
366	250	4829.4191570161
368	250	4722.80040842994
370	250	4633.35662211301
372	250	4861.53140610419
374	250	4735.07029604332
376	250	4702.81030240998
378	250	4968.45238399772
380	250	4862.29056909726
382	250	4421.69650020602
384	250	4506.01305136846
386	250	4378.99258358989
388	250	4744.27108457814
390	250	4496.92938946272
392	250	4399.4457502591
394	250	4446.90031026315
396	250	4660.6641650786
398	250	4538.60319190237
400	250	4634.76036466007
402	250	4487.84171777518
404	250	4790.54428406945
406	250	4748.20390651486
408	250	4601.4143445195
410	250	4615.61926548587
412	250	4658.21518874042
414	250	4979.92771843145
416	250	4881.28958703619
418	250	4544.15016598775
420	250	4697.87624368923
422	250	4513.11218521378
424	250	4954.99855281443
426	250	4917.30766342815
428	250	4893.8859000034
430	250	4481.82998319691
432	250	4809.99238411637
434	250	4804.87091981685
436	250	4645.26347421464
438	250	4828.10227978345
440	250	4312.93595069167
442	250	4275.76943455779
444	250	4500.04052907842
446	250	4313.42040114002
448	250	4403.75338929129
450	250	4557.7016109988
452	250	4344.74736451548
454	250	4292.21764887991
456	250	4584.57132710226
458	250	4283.50059806297
460	250	4219.65469607453
462	250	4300.60873866493
464	250	4258.54734741523
466	250	4518.50187972521
468	250	3829.16639474217
470	250	4120.07122325473
472	250	3548.05685672272
474	250	3865.30391674599
476	250	3840.69741549004
478	250	3770.41772868373
480	250	3581.66714594608
482	250	3712.48166499951
484	250	4104.29265053175
486	250	4541.14110361391
488	250	8763.56119290744
490	250	19064.5115972638
492	250	39669.9915442979
494	250	67239.8257199755
496	250	100188.39859166
498	250	134470.816519362
500	250	157146.295679318
502	250	159655.942665353
504	250	143119.072181461
506	250	112080.569853921
508	250	75622.2179969337
510	250	41857.9700040285
512	250	18368.1039626415
514	250	7788.58191737582
516	250	4999.20414663335
518	250	4928.68076703717
520	250	4795.36760221803
522	250	4497.4941274329
524	250	4422.9259286173
526	250	4443.31507237783
528	250	4993.56957292496
530	250	4834.41091542356
532	250	6054.50947527263
534	250	7848.89675034539
536	250	11556.4411130721
538	250	15401.0221027338
540	250	20564.0549168612
542	250	25875.1393241117
544	250	30304.6625313415
546	250	33890.9866167877
548	250	34628.9178708919
550	250	31533.4402654689
552	250	27979.319497457
554	250	22732.6302878228
556	250	17814.4097023694
558	250	12676.1797729415
560	250	8426.28775658174
300	260	4151.79880658926
302	260	4337.70959672086
304	260	4804.52244405514
306	260	5050.53788627728
308	260	5554.61173992558
310	260	5899.38360948259
312	260	6127.46489718795
314	260	6755.0558580775
316	260	6954.91356948076
318	260	7002.46090526015
320	260	7524.11149672726
322	260	7160.52037867648
324	260	7540.08001795525
326	260	7721.90719793073
328	260	7260.23473769924
330	260	7362.15364460372
332	260	7462.81079561412
334	260	7216.13680351281
336	260	6787.40036979588
338	260	6718.25420600297
340	260	6749.17633040162
342	260	6262.49661319143
344	260	6135.74253107533
346	260	6068.98204547516
348	260	5927.59284991987
350	260	5696.88205642428
352	260	5357.04357953327
354	260	5270.86229624057
356	260	5053.37669578011
358	260	4866.85889360051
360	260	4786.69356676455
362	260	4331.1728540268
364	260	4482.00856451728
366	260	4224.56594078556
368	260	4217.93963578218
370	260	4208.42658905796
372	260	3969.52571543177
374	260	3685.0103611632
376	260	3581.52803201629
378	260	3631.4347402935
380	260	3581.95923404182
382	260	3702.56212061369
384	260	3481.55217327892
386	260	3802.04222395051
388	260	3356.52781203259
390	260	3277.63053846972
392	260	3265.98755648139
394	260	3500.90910877599
396	260	3474.3402840083
398	260	3432.32535998389
400	260	3290.56215670874
402	260	3313.45967245511
404	260	3296.94634073224
406	260	3357.68821024861
408	260	3423.52102219455
410	260	3317.22338910279
412	260	3367.29969401524
414	260	3355.76778489964
416	260	3350.7469618621
418	260	3118.73002632368
420	260	3600.29984209289
422	260	3499.30067491089
424	260	3300.45852170678
426	260	3627.23514648781
428	260	3319.51648704915
430	260	3614.45711665114
432	260	3495.81496495127
434	260	3608.37057295417
436	260	3581.94054729183
438	260	3490.41490384548
440	260	3624.72082033961
442	260	3368.70738893185
444	260	3486.09040237297
446	260	3367.77165981524
448	260	3406.72018723557
450	260	3576.38695297333
452	260	3246.24905683586
454	260	3265.04274144957
456	260	3481.06612811616
458	260	3558.21004583231
460	260	3290.29548121337
462	260	3191.72281647269
464	260	3375.16236267391
466	260	3291.25843228943
468	260	3515.41402441454
470	260	3578.97325031638
472	260	3350.47997008649
474	260	3190.92309397531
476	260	3343.53874832973
478	260	3340.08161992181
480	260	3379.17435959323
482	260	3288.5544773474
484	260	3212.48157073495
486	260	3426.9337384307
488	260	3346.04562642639
490	260	3338.64721305546
492	260	3498.46318140301
494	260	3437.02795417874
496	260	3343.66810858602
498	260	3437.77495489975
500	260	3377.43460346604
502	260	3522.98286592501
504	260	3758.47883122719
506	260	4369.33606118544
508	260	8911.23743910201
510	260	21245.5306186734
512	260	44328.2717898397
514	260	77160.3462742456
516	260	112991.815447961
518	260	147236.028852346
520	260	168516.839340101
522	260	168519.676915169
524	260	144403.98858067
526	260	110408.90681675
528	260	74026.5975209683
530	260	40498.5988527788
532	260	18039.2392943847
534	260	8533.24858293588
536	260	6325.01820759261
538	260	5787.70213574074
540	260	5541.45406971437
542	260	5622.21826772917
544	260	5823.17392397029
546	260	5593.87360600965
548	260	5679.83773650256
550	260	5409.62205970226
552	260	5653.49893694918
554	260	6039.61643348561
556	260	7466.02228207554
558	260	9399.04339509093
560	260	12279.2428819985
300	270	37527.4416201877
302	270	26680.7769616175
304	270	16628.1894841131
306	270	10554.9852621976
308	270	7467.8318399707
310	270	6999.74611096196
312	270	7046.68758288778
314	270	7019.99193967462
316	270	7102.09103758531
318	270	6902.33660692443
320	270	6991.97088026717
322	270	6815.14272415555
324	270	6933.45836021344
