EM wavelength	EX wavelength	S1/R1
nm	nm	CPS / MicroAmps
300	240	4507.19678201705
302	240	4622.94595212908
304	240	5762.29768233084
306	240	6096.64000207542
308	240	6642.24717605913
310	240	7142.57539550234
312	240	7838.95850208422
314	240	8531.36447915243
316	240	9415.3481254036
318	240	9160.6100065655
320	240	9642.70204336217
322	240	10371.4199559231
324	240	9789.1677905964
326	240	10200.9575404204
328	240	10736.6494233854
330	240	10582.9644707161
332	240	10207.4970018251
334	240	11210.0618712687
336	240	10664.9295371568
338	240	10581.7508940276
340	240	10272.1891259762
342	240	10632.1317070563
344	240	10693.5935216011
346	240	10473.3337797294
348	240	10556.1366144649
350	240	10749.3091442059
352	240	10660.748405891
354	240	11179.4360849622
356	240	11109.7437857344
358	240	11328.0995209924
360	240	12330.1271004176
362	240	12294.0394030516
364	240	11312.1641652173
366	240	11344.6069967611
368	240	11113.5908631631
370	240	10472.3368439026
372	240	10385.0329644813
374	240	9889.6823022314
376	240	9792.67354233877
378	240	9533.84480087533
380	240	9225.29541862555
382	240	9277.21723726928
384	240	9611.95795065869
386	240	8583.98169574845
388	240	9328.58315821585
390	240	8704.99697104198
392	240	9923.1160556068
394	240	9228.36566042861
396	240	9664.92201570645
398	240	9539.27221864815
400	240	9840.10074905624
402	240	10136.6541322722
404	240	9858.69079122219
406	240	9735.12737011059
408	240	10243.3437766907
410	240	10213.3852048462
412	240	10122.0154976001
414	240	10489.3708444115
416	240	10835.9843647297
418	240	9802.92215048799
420	240	9907.17228986331
422	240	9904.44697130126
424	240	10822.9761713281
426	240	9650.55403967044
428	240	10853.0691221245
430	240	10285.8736025943
432	240	10238.7572813464
434	240	9491.82129530215
436	240	10730.5481809944
438	240	10436.6392718003
440	240	10116.4292048484
442	240	9195.36867993573
444	240	9385.34280691412
446	240	9448.8813720803
448	240	8916.69151459292
450	240	9262.82187051274
452	240	9663.33263438628
454	240	9479.76118403918
456	240	8979.21366447057
458	240	9173.91630270297
460	240	9175.8960054831
462	240	8353.17600536436
464	240	8636.39168375307
466	240	9219.00089006616
468	240	11490.2689454776
470	240	20851.7413097094
472	240	38815.3330296256
474	240	67147.9120340094
476	240	109174.998436169
478	240	154493.251174028
480	240	187809.447474032
482	240	198810.18730042
484	240	188141.382970833
