Wavelength	S1
nm	CPS
270	950
271	630
272	490
273	400
274	340
275	390
276	420
277	440
278	330
279	310
280	450
281	240
282	270
283	290
284	320
285	370
286	380
287	350
288	420
289	360
290	380
291	390
292	340
293	370
294	340
295	350
296	320
297	280
298	370
299	340
300	290
301	380
302	380
303	410
304	380
305	320
306	390
307	280
308	410
309	300
310	540
311	340
312	540
313	340
314	450
315	440
316	470
317	410
318	290
319	350
320	400
321	290
322	400
323	410
324	350
325	280
326	300
327	340
328	290
329	330
330	490
331	410
332	320
333	510
334	480
335	310
336	390
337	410
338	290
339	390
340	380
341	380
342	390
343	450
344	410
345	400
346	270
347	320
348	380
349	450
350	350
351	320
352	370
353	390
354	400
355	320
356	350
357	490
358	360
359	360
360	380
361	280
362	400
363	440
364	300
365	470
366	320
367	470
368	300
369	370
370	410
371	430
372	490
373	420
374	310
375	230
376	390
377	430
378	390
379	290
380	310
381	330
382	290
383	320
384	480
385	420
386	380
387	410
388	360
389	380
390	620
391	340
392	430
393	400
394	550
395	510
396	510
397	410
398	500
399	400
400	350
401	390
402	360
403	420
404	400
405	350
406	360
407	380
408	420
409	350
410	330
411	450
412	460
413	350
414	350
415	370
416	420
417	400
418	410
419	420
420	390
421	360
422	360
423	420
424	440
425	450
426	340
427	350
428	500
429	440
430	390
