Wavelength	S1 / R1	Wavelength	S1c / R1c	Wavelength	S1	Wavelength	R1
nm	 	nm	CPS / MicroAmps	nm	CPS	nm	MicroAmps
365	863.977538363929	365	1768.36648415439	365	10090	365	11.678544350941
366	847.753534864134	366	1699.38481037116	366	9900	366	11.6779224065242
367	798.149410026112	367	1564.76486124069	367	9320	367	11.6770117009735
368	833.888589166454	368	1602.0655486868	368	9740	368	11.6802173893949
369	816.645046232949	369	1534.42275285623	369	9530	369	11.6696966986579
370	792.25027212002	370	1454.83738237197	370	9250	370	11.6756034368376
371	792.431987107981	371	1422.88986749506	371	9250	371	11.6729260687196
372	801.206245732061	372	1406.3692492441	372	9350	372	11.6699040350801
373	710.770133424658	373	1214.98208634966	373	8300	373	11.6774743474499
374	677.068268246967	374	1128.36374811975	374	7910	374	11.6827214787073
375	659.103954562537	375	1070.85682977713	375	7700	375	11.6825273869138
376	622.65906381169	376	992.704613768641	376	7270	376	11.675731427558
377	617.396078103204	377	967.013480152667	377	7210	377	11.6780787175567
378	572.01861211911	378	877.968489029197	378	6680	378	11.6779416936333
379	488.911645987149	379	732.721508533161	379	5710	379	11.6790018132439
380	526.462751141936	380	776.780985723458	380	6150	380	11.6817381413219
381	517.197839062923	381	750.809032883228	381	6040	381	11.6783163884511
382	518.745527727047	382	741.320607148435	382	6060	382	11.68202842452
383	575.755891981182	383	812.632153914957	383	6720	383	11.6716130804609
384	689.965568201755	384	963.379532804152	384	8060	384	11.6817423527476
385	908.121516739222	385	1255.39459955928	385	10600	385	11.6724466986106
386	1356.0593037698	386	1868.32722082007	386	15840	386	11.6809050724885
387	2205.25170353784	387	3023.0601799995	387	25770	387	11.685740887835
388	3425.87741154949	388	4661.39587721121	388	40020	388	11.6816789372213
389	4975.37818733498	389	6709.64315852481	389	58090	389	11.6754943670152
390	7182.03292560109	390	9593.19975291615	390	83880	390	11.6791444524017
391	9805.85456234417	391	13008.4915638861	391	114490	391	11.6756779607621
392	12760.0326759767	392	16806.730527267	392	149140	392	11.6880578433616
393	15781.5717375203	393	20633.644836972	393	184360	393	11.681979657431
394	18669.344092645	394	24225.9710278283	394	218060	394	11.6801103947678
395	21127.1882045826	395	27206.0331912608	395	246590	395	11.6716904120025
396	22900.1120059986	396	29296.343160527	396	267390	396	11.6763621038167
397	23456.9843428726	397	29809.8455143407	397	274100	397	11.6852190372581
398	22971.6377323206	398	28997.2043787578	398	268200	398	11.6752668279566
399	21431.6812800492	399	26869.4772476018	399	250270	399	11.6775719426631
400	19514.1397057895	400	24297.3768663438	400	227890	400	11.6781986516367
401	16696.6946957583	401	20643.3745373683	401	195000	401	11.6789582341431
402	13552.0221345716	402	16635.3190089976	402	158270	402	11.6786999333663
403	10603.67625316	403	12920.6825972382	403	123810	403	11.6761392034299
404	7663.79848879079	404	9266.73629985117	404	89530	404	11.6821965153374
405	5558.52239788105	405	6667.55899879936	405	64980	405	11.6901570864895
406	3696.34557051087	406	4401.80444671378	406	43170	406	11.6791028264258
407	2491.99412833608	407	2943.84701307545	407	29110	407	11.6814079411322
408	1658.20191399576	408	1940.50536133931	408	19360	408	11.6752971013936
409	1174.98767787769	409	1360.90014748205	409	13730	409	11.6852289249532
410	910.476664575879	410	1043.65476761491	410	10640	410	11.6861863834329
411	637.83840701556	411	720.779330933322	411	7450	411	11.6800743229911
412	511.845385281532	412	571.082503149991	412	5980	412	11.6832156193238
413	431.624456369537	413	475.638757116018	413	5040	413	11.6768174871097
414	398.318429874113	414	434.936384438861	414	4650	414	11.674076947606
415	349.409583833492	415	376.874516408513	415	4080	415	11.6768405583983
416	290.469486601346	416	307.772765659728	416	3390	416	11.6707611517646
417	235.240603867817	417	243.729402497257	417	2750	417	11.6901587344387
418	236.343911235845	418	243.403996168117	418	2760	418	11.6778976262512
419	199.497423024342	419	200.921470310349	419	2330	419	11.6793488591364
420	173.816763072621	420	171.285837317218	420	2030	420	11.6789656193969
421	173.051693529476	421	169.462182384586	421	2020	421	11.6728126654012
422	176.311179839898	422	172.070699582927	422	2060	422	11.6838875553474
423	174.652006508967	423	169.275353455031	423	2040	423	11.6803696721071
424	185.875942741953	424	180.3964789359	424	2170	424	11.6744532293378
425	173.767758916936	425	166.373392596456	425	2030	425	11.6822591984418
426	160.118398287125	426	151.055976790447	426	1870	426	11.6788577702777
427	144.691700895876	427	133.986171241504	427	1690	427	11.6800064518985
428	157.604328461375	428	147.046601704038	428	1840	428	11.6748062566755
429	168.706919111337	429	158.089930160381	429	1970	429	11.677055158004
430	150.626707918231	430	138.426032925702	430	1760	430	11.6845148136374
431	166.023773415796	431	153.974490067651	431	1940	431	11.6850735294481
432	131.874047193751	432	117.818567533337	432	1540	432	11.6778094914871
433	134.486919469524	433	120.057839707228	433	1570	433	11.6739977850097
434	137.804875246245	434	123.025167584368	434	1610	434	11.6831860783087
435	129.185719641183	435	113.682074595625	435	1510	435	11.6885984317312
436	137.824390680935	436	122.007745813636	436	1610	436	11.6815317814621
437	129.339503206924	437	112.800757308849	437	1510	437	11.6747007879273
438	133.562665833523	438	116.585983419775	438	1560	438	11.6799106267049
439	140.331210211195	439	122.905833373961	439	1640	439	11.6866376163352
440	134.441226818382	440	116.410628666313	440	1570	440	11.6779654363087
441	140.405310333177	441	121.937240306563	441	1640	441	11.680469891832
442	127.567195442598	442	108.653670964377	442	1490	442	11.6801188176193
443	138.624502706519	443	119.227982276746	443	1620	443	11.6862457096037
444	143.826599175981	444	123.901579330819	444	1680	444	11.6807322819642
445	114.746955019415	445	94.7362742237706	445	1340	445	11.6778697942205
446	134.28008099876	446	113.953482944149	446	1570	446	11.6919798403644
447	113.841816351229	447	93.7446396976028	447	1330	447	11.6828775455991
448	121.510248529451	448	101.244742005099	448	1420	448	11.6862570621426
449	125.962760077355	449	105.541938439156	449	1470	449	11.6701158270687
450	125.911057721656	450	105.438302323674	450	1470	450	11.6749078802089
