FilB.csv,,MSU\jackpearson1 (Pearson, Jack),2/28/2022 1:27:02 PM,GENESYS 10S,2L6M161001,2.001
nm,A
190,-0.0489
191,-0.0188
192,-0.0615
193,0.0004
194,0.0218
195,-0.0272
196,-0.0559
197,-0.0296
198,-0.0041
199,-0.0106
200,0.0113
201,-0.0307
202,-0.0119
203,-0.0083
204,-0.0029
205,-0.0356
206,-0.0101
207,0.008
208,0.0214
209,-0.0043
210,0.0152
211,0.0007
212,-0.0226
213,0.0281
214,-0.0106
215,-0.0173
216,-0.0136
217,-0.0016
218,0.0084
219,-0.0042
220,-0.0116
221,-0.0344
222,-0.0134
223,0.0232
224,-0.0142
225,-0.0183
226,-0.0325
227,-0.0095
228,0.0001
229,-0.0108
230,0.0284
231,-0.0002
232,-0.0237
233,-0.0113
234,-0.0238
235,0.0082
236,-0.0049
237,-0.0054
238,0.034
239,-0.0105
240,0.0178
241,0.0128
242,0.0173
243,-0.0163
244,0.0012
245,0.0002
246,-0.0122
247,-0.0144
248,-0.0025
249,-0.0136
250,-0.0149
251,-0.0222
252,-0.0084
253,0.0151
254,-0.003
255,-0.0082
256,-0.0095
257,-0.0062
258,-0.0019
259,-0.0039
260,-0.0058
261,-0.0043
262,-0.0035
263,-0.0029
264,-0.0024
265,-0.0013
266,-0.0012
267,-0.0018
268,-0.0012
269,-0.001
270,-0.0008
271,0
272,0.0001
273,0
274,-0.0005
275,-0.0004
276,0.0008
277,0.0009
278,0.0007
279,0.0004
280,0.0015
281,0.0017
282,0.0009
283,0.0015
284,0.001
285,0.0009
286,0.0011
287,0.0015
288,0.0012
289,0.0013
290,0.0011
291,0.0013
292,0.0014
293,0.0015
294,0.0013
295,0.0014
296,0.0014
297,0.0014
298,0.0014
299,0.0015
300,0.0015
301,0.002
302,0.0018
303,0.0016
304,0.0015
305,0.0015
306,0.0017
307,0.0016
308,0.0021
309,0.0017
310,0.0015
311,0.0019
312,0.0016
313,0.0019
314,0.0018
315,0.0017
316,0.002
317,0.0016
318,0.0019
319,0.002
320,0.0014
321,0.0019
322,0.0019
323,0.0016
324,0.0021
325,0.0021
326,0.002
327,0.0018
328,0.0022
329,0.0022
330,0.0021
331,0.0021
332,0.002
333,0.0021
334,0.002
335,0.0019
336,0.0021
337,0.0023
338,0.0016
339,0.0023
340,0.002
341,0.0018
342,0.0009
343,0.0018
344,0.0022
345,0.0021
346,0.002
347,0.002
348,0.0019
349,0.0017
350,0.0016
351,0.0023
352,0.0018
353,0.0021
354,0.0021
355,0.0021
356,0.002
357,0.0022
358,0.002
359,0.0021
360,0.0021
361,0.0022
362,0.002
363,0.002
364,0.0027
365,0.002
366,0.002
367,0.0017
368,0.0017
369,0.0018
370,0.0018
371,0.002
372,0.0021
373,0.0016
374,0.0018
375,0.0024
376,0.0019
377,0.0017
378,0.002
379,0.0019
380,0.002
381,0.0018
382,0.0019
383,0.0019
384,0.0018
385,0.002
386,0.0019
387,0.002
388,0.0018
389,0.0019
390,0.0018
391,0.0023
392,0.0017
393,0.0021
394,0.0018
395,0.002
396,0.0017
397,0.0019
398,0.0018
399,0.0016
400,0.0019
401,0.0019
402,0.0019
403,0.0018
404,0.0021
405,0.0019
406,0.002
407,0.0014
408,0.0018
409,0.0021
410,0.0016
411,0.0017
412,0.0014
413,0.0017
414,0.0018
415,0.0018
416,0.0019
417,0.0017
418,0.002
419,0.0016
420,0.0021
421,0.0017
422,0.0015
423,0.0015
424,0.0015
425,0.0015
426,0.0018
427,0.0017
428,0.002
429,0.0016
430,0.0016
431,0.0016
432,0.0018
433,0.0016
434,0.0017
435,0.0017
436,0.0017
437,0.0018
438,0.0018
439,0.0018
440,0.0017
441,0.0017
442,0.0017
443,0.0016
444,0.0017
445,0.0017
446,0.0017
447,0.0017
448,0.0017
449,0.0016
450,0.0017
451,0.0017
452,0.0017
453,0.0023
454,0.0015
455,0.0023
456,0.0015
457,0.0018
458,0.0016
459,0.0015
460,0.0016
461,0.0015
462,0.0016
463,0.0016
464,0.0015
465,0.0017
466,0.0017
467,0.0016
468,0.0016
469,0.0017
470,0.0014
471,0.0016
472,0.0016
473,0.0017
474,0.0016
475,0.0018
476,0.0016
477,0.0016
478,0.0018
479,0.0014
480,0.002
481,0.0017
482,0.0013
483,0.0015
484,0.0013
485,0.0019
486,0.0017
487,0.0019
488,0.0015
489,0.0016
490,0.0016
491,0.0013
492,0.0017
493,0.0016
494,0.0016
495,0.0016
496,0.0015
497,0.0015
498,0.0015
499,0.0017
500,0.0018
501,0.0018
502,0.0015
503,0.0015
504,0.0014
505,0.0015
506,0.0013
507,0.0014
508,0.0015
509,0.0017
510,0.0014
511,0.0012
512,0.0012
513,0.0014
514,0.0016
515,0.0015
516,0.0015
517,0.0015
518,0.0014
519,0.0017
520,0.0015
521,0.0016
522,0.0016
523,0.0013
524,0.0013
525,0.0016
526,0.0017
527,0.0016
528,0.0017
529,0.0014
530,0.0016
531,0.0015
532,0.0015
533,0.0017
534,0.0015
535,0.0015
536,0.0015
537,0.0016
538,0.0014
539,0.0017
540,0.0016
541,0.0014
542,0.0011
543,0.0011
544,0.0014
545,0.0015
546,0.0014
547,0.0015
548,0.0014
549,0.0015
550,0.0016
551,0.0015
552,0.0015
553,0.0013
