FB.csv,,jackpearson,3/9/2022 2:47:31 PM,GENESYS 10S,2L6M161001,2.001
nm,A
190,-0.0366
191,-0.0549
192,0.0411
193,-0.0098
194,-0.0285
195,0.0064
196,-0.0291
197,-0.0156
198,-0.0578
199,-0.0008
200,0.0257
201,0.0147
202,-0.0267
203,0.0114
204,-0.0015
205,-0.0413
206,0.0078
207,0.0499
208,-0.0347
209,-0.0051
210,-0.0397
211,-0.028
212,-0.0186
213,0.0048
214,-0.0364
215,-0.0154
216,0.0037
217,0.0091
218,-0.0006
219,0.0054
220,-0.0285
221,0.0444
222,0.0196
223,-0.0312
224,0.0121
225,-0.0247
226,0.003
227,0.0467
228,0.0231
229,-0.0346
230,0.0269
231,0.0159
232,-0.012
233,-0.0398
234,-0.0062
235,-0.0195
236,0.0107
237,-0.0433
238,-0.0296
239,0.033
240,-0.0285
241,0.0078
242,-0.0006
243,-0.0285
244,-0.0353
245,-0.0277
246,-0.0123
247,0.0271
248,0.0169
249,0.0203
250,-0.006
251,-0.0155
252,-0.039
253,0.0272
254,-0.0167
255,0.0383
256,0.0104
257,-0.0118
258,-0.0125
259,-0.0187
260,-0.0158
261,-0.0264
262,-0.0059
263,0.0048
264,0.0506
265,-0.0677
266,-0.0029
267,-0.0077
268,-0.0341
269,-0.0433
270,0.0107
271,-0.0257
272,-0.0153
273,-0.0125
274,-0.0203
275,0.017
276,0.0205
277,-0.0265
278,-0.0106
279,-0.0156
280,0.0027
281,-0.0297
282,-0.0452
283,-0.0909
284,-0.1169
285,-0.109
286,-0.108
287,-0.0945
288,-0.1116
289,-0.1096
290,-0.1111
291,-0.1193
292,-0.1091
293,-0.0908
294,-0.0755
295,-0.0511
296,-0.0466
297,-0.0327
298,-0.0321
299,-0.0251
300,-0.0193
301,-0.0194
302,-0.0179
303,-0.0154
304,-0.014
305,-0.0138
306,-0.0135
307,-0.0128
308,-0.0122
309,-0.0119
310,-0.0111
311,-0.0098
312,-0.0106
313,-0.0107
314,-0.0105
315,-0.0107
316,-0.011
317,-0.0106
318,-0.0098
319,-0.0094
320,-0.0086
321,-0.0083
322,-0.0087
323,-0.008
324,-0.0078
325,-0.0074
326,-0.0074
327,-0.0073
328,-0.0069
329,-0.0067
330,-0.0063
331,-0.0063
332,-0.0057
