SC.csv,,jackpearson,3/9/2022 2:47:29 PM,GENESYS 10S,2L6M161001,2.001
nm,A
190,-0.0495
191,-0.0328
192,-0.007
193,-0.0012
194,-0.0151
195,0.0114
196,0.01
197,0.012
198,-0.0254
199,-0.0219
200,-0.003
201,-0.0078
202,0.0202
203,-0.0122
204,-0.0208
205,0.0315
206,0.0213
207,0.033
208,-0.009
209,-0.0315
210,-0.0199
211,-0.0411
212,0.0038
213,-0.0009
214,-0.0244
215,0.0152
216,0.0159
217,-0.0305
218,0.0373
219,-0.0569
220,0.0223
221,0.0362
222,-0.0212
223,-0.0056
224,-0.0057
225,0.0402
226,0.0134
227,0.01
228,-0.02
229,-0.0267
230,-0.015
231,-0.0211
232,-0.0036
233,-0.0314
234,-0.0209
235,-0.0207
236,0.0139
237,-0.0511
238,0.0092
239,0.0095
240,0.0052
241,0.002
242,-0.0113
243,-0.0424
244,-0.0392
245,-0.0097
246,-0.0058
247,0.016
248,0.0071
249,0.0169
250,-0.0553
251,-0.0133
252,0.017
253,0.0351
254,-0.0057
255,0.0239
256,0.0012
257,-0.0393
258,-0.0092
259,-0.0075
260,0.0115
261,-0.0341
262,0.0092
263,0.0148
264,-0.0033
265,-0.0274
266,-0.0246
267,-0.0375
268,0.0133
269,-0.0049
270,0.0094
271,-0.0337
272,-0.0043
273,-0.0287
274,-0.0228
275,0.0077
276,-0.0036
277,-0.0191
278,-0.0225
279,-0.0079
280,0.0009
281,-0.0417
282,-0.0532
283,-0.09
284,-0.1299
285,-0.1146
286,-0.1283
287,-0.1212
288,-0.1276
289,-0.1223
290,-0.1217
291,-0.1287
292,-0.1266
293,-0.1073
294,-0.088
295,-0.0635
296,-0.0552
297,-0.0428
298,-0.0381
299,-0.0345
300,-0.027
301,-0.0271
302,-0.0254
303,-0.0235
304,-0.0219
305,-0.0214
306,-0.021
307,-0.0195
308,-0.0182
309,-0.0185
310,-0.0174
311,-0.0169
312,-0.0172
313,-0.0167
314,-0.0166
315,-0.0168
316,-0.0167
317,-0.0161
318,-0.0156
319,-0.0153
320,-0.0144
321,-0.0137
322,-0.0138
323,-0.0131
324,-0.0129
325,-0.0124
326,-0.0124
327,-0.012
328,-0.0118
329,-0.0114
330,-0.0112
331,-0.0105
332,-0.0102
333,-0.01
334,-0.0096
335,-0.0092
336,-0.0088
337,-0.0086
338,-0.0084
339,-0.0077
340,-0.0082
341,-0.0076
342,-0.0077
343,-0.0076
344,-0.0077
345,-0.007
346,-0.0072
347,-0.007
348,-0.0067
349,-0.0068
350,-0.0068
351,-0.0068
352,-0.0063
353,-0.0061
354,-0.0062
355,-0.0063
356,-0.0063
357,-0.0062
358,-0.006
359,-0.0057
360,-0.0056
361,-0.0056
362,-0.0056
363,-0.0053
364,-0.0053
365,-0.0053
366,-0.0047
367,-0.0042
368,-0.004
369,-0.0035
370,-0.0034
371,-0.0028
372,-0.0026
373,-0.0024
374,-0.0021
375,-0.0017
376,-0.0015
377,-0.0013
378,-0.0014
379,-0.0012
380,-0.0009
381,-0.001
382,-0.0008
383,-0.0009
384,-0.0007
385,-0.0007
386,-0.0008
387,-0.0007
388,-0.0008
389,-0.0005
390,-0.0007
391,-0.0006
392,-0.001
393,-0.0004
394,-0.0005
395,-0.0003
396,-0.0006
397,-0.0005
398,-0.0006
399,-0.0006
400,-0.0005
401,-0.0005
402,-0.0005
403,-0.0004
404,-0.0005
405,-0.0002
406,-0.0001
407,-0.0002
408,0
409,-0.0005
410,-0.0002
411,-0.0002
412,-0.0003
413,-0.0003
414,-0.0003
415,-0.0003
416,-0.0004
417,-0.0003
418,-0.0004
419,-0.0002
420,-0.0004
421,-0.0001
422,-0.0003
423,0.0001
424,-0.0001
425,-0.0003
426,-0.0001
427,-0.0001
428,-0.0001
429,-0.0002
430,-0.0001
431,-0.0002
432,-0.0002
433,-0.0003
434,-0.0002
435,-0.0001
436,-0.0001
437,0
438,-0.0001
439,-0.0001
440,-0.0001
441,-0.0002
442,-0.0001
443,-0.0001
444,-0.0002
445,-0.0002
446,-0.0001
447,-0.0001
448,0
449,0
450,-0.0001
451,-0.0001
452,0
453,0.0002
454,0.0001
455,0
456,0
457,0
458,-0.0001
459,-0.0001
460,-0.0001
461,-0.0001
462,-0.0001
463,0
464,0.0001
465,-0.0002
466,0.0003
467,0.0001
468,-0.0001
469,-0.0002
470,0
471,-0.0001
472,-0.0001
473,-0.0001
474,0
475,0
476,0.0001
477,0
478,0.0001
479,-0.0005
480,-0.0003
481,-0.0002
482,-0.0001
483,-0.0001
484,-0.0002
485,-0.0002
486,-0.0005
487,-0.0001
488,-0.0001
489,-0.0002
490,-0.0004
491,-0.0004
492,-0.0004
493,-0.0003
494,-0.0004
495,-0.0004
496,-0.0006
497,-0.0003
498,-0.0002
499,-0.0003
500,-0.0003
501,-0.0006
502,-0.0006
503,-0.0004
504,-0.0004
505,-0.0005
506,-0.0003
507,-0.0003
508,-0.0003
509,0.0001
510,-0.0008
511,-0.0004
512,-0.0008
513,-0.0002
514,-0.0003
515,-0.0005
516,-0.0002
517,-0.0003
518,-0.0006
519,-0.0004
520,-0.0002
521,-0.0002
522,-0.0005
523,-0.0003
524,-0.0002
525,-0.0006
526,-0.0004
527,-0.0003
528,-0.0003
529,0
530,0
531,-0.0006
532,-0.0004
533,-0.0005
534,-0.0006
535,-0.0004
536,-0.0007
537,-0.0004
538,-0.0003
539,-0.0005
540,-0.0005
541,-0.0002
542,-0.0003
543,-0.0001
544,-0.0003
545,-0.0005
546,-0.0005
547,0.0001
548,-0.0005
549,-0.0005
550,-0.0004
551,-0.0003
552,-0.0001
553,0.0002
554,-0.0004
555,-0.0004
556,-0.0003
557,0.0003
558,-0.0004
559,-0.0002
560,-0.0003
561,-0.0001
562,0.0001
563,-0.0005
564,-0.0004
565,-0.0003
566,-0.0002
567,-0.0002
568,-0.0003
569,-0.0001
570,0.0004
571,-0.0002
572,0
573,-0.0001
574,-0.0003
575,-0.0003
576,-0.0001
577,-0.0002
578,-0.0001
579,0.0003
580,0.0002
581,-0.0004
582,-0.0002
583,0.0001
584,-0.0006
585,0.0001
586,-0.0002
587,0.0003
588,0
589,0.0001
590,-0.0003
591,0.0001
592,-0.0002
593,-0.0001
594,0.0004
595,-0.0001
596,0.0002
597,-0.0003
598,0.0003
599,-0.0004
600,0.0001
601,0.0004
602,0.0004
603,-0.0002
604,0.0005
605,0.0003
606,-0.0005
607,-0.0002
608,-0.0002
609,0.0001
610,0
611,0.0004
612,0.0003
613,0.0005
614,0.0004
615,-0.0002
616,0.0005
617,0.0001
618,-0.0002
619,0.0001
620,0.0003
621,0.0001
622,0.0002
623,-0.0003
624,0.0003
625,0.0002
626,0.0005
627,0.0001
628,0.0003
629,0
630,-0.0006
631,0.0004
632,0.0002
633,0.0001
634,0.0001
635,-0.0001
636,0.0003
637,0
638,0.0008
639,0.0004
640,0.0001
641,-0.0005
642,0.0002
643,0.0001
644,0.0002
645,0.0005
646,0
647,0.0009
648,0.0002
649,-0.0005
650,0.0001
651,0.0004
652,0.0003
653,-0.0004
654,0.0007
655,0.0001
656,0.0001
657,-0.0002
658,0.0004
659,0
660,0.0006
661,0.0003
662,0.0008
663,-0.0004
664,0.0002
665,0.0003
666,0.001
667,0.0004
668,0.0005
669,0.0009
670,0
671,0.0004
672,0.0003
673,0.0001
674,0.0005
675,0.0005
676,0.001
677,0.0006
678,0.0001
679,0.0004
680,0.0005
681,0.0005
682,0.0008
683,0.0004
684,0.0006
685,0
686,0.0003
687,-0.0001
688,0.0008
689,0.0001
690,0
691,0.0005
692,-0.0001
693,0
694,0
695,0.0006
696,0.0002
697,0.0005
698,0.0003
699,-0.0001
700,0.0001
701,-0.0001
702,0.0007
703,0
704,0.0002
705,0
706,0.0002
707,-0.0001
708,0.0002
709,-0.0001
710,0.0007
711,0.0007
712,-0.0001
713,0.0002
714,-0.0003
715,0.0005
716,0.0002
717,0.0003
718,0.0002
719,0
720,0
721,-0.0001
722,-0.0004
723,0.0002
724,-0.0006
725,0.0003
726,-0.001
727,-0.0011
728,0.0003
729,-0.0009
730,0.0004
731,0.0002
732,0.0005
733,-0.0006
734,-0.0009
735,-0.0007
736,-0.0004
737,-0.0009
738,-0.0009
739,-0.0006
740,-0.0008
741,-0.0007
742,0.0001
743,-0.0002
744,-0.0003
745,-0.0008
746,-0.0002
747,-0.0002
748,-0.0012
749,-0.0016
750,-0.0007
751,-0.0005
752,-0.0003
753,-0.0001
754,-0.0008
755,-0.0009
756,-0.0004
757,-0.0007
758,-0.0008
759,0.0003
760,-0.0013
761,-0.0006
762,-0.0016
763,-0.0004
764,-0.0009
765,-0.0007
766,-0.0009
767,-0.0015
768,-0.0006
769,-0.0008
770,-0.0007
771,-0.0015
772,-0.0004
773,-0.001
774,-0.0014
775,-0.0007
776,-0.0007
777,-0.0015
778,-0.0015
779,-0.0011
780,0.0004
781,-0.0013
782,-0.0008
783,-0.0001
784,-0.0013
785,-0.0007
786,-0.0002
787,-0.0014
788,-0.001
789,-0.0012
790,-0.001
791,-0.0013
792,-0.0015
793,-0.0014
794,-0.0008
795,-0.0015
796,-0.0018
797,-0.0015
798,-0.0003
799,-0.0028
800,-0.0013
801,-0.0018
802,-0.0008
803,-0.0019
804,-0.0019
805,-0.0008
806,-0.0008
807,-0.0016
808,-0.0007
809,-0.002
810,-0.0023
811,-0.0007
812,-0.0004
813,-0.0027
814,-0.0021
815,-0.0012
816,-0.0009
817,-0.002
818,-0.0011
819,-0.0011
820,-0.0016
821,-0.0013
822,-0.0008
823,-0.0013
824,-0.0013
825,-0.0014
826,-0.0016
827,-0.0015
828,-0.0015
829,-0.0014
830,-0.0017
831,-0.0015
832,-0.0017
833,-0.0019
834,-0.0016
835,-0.0016
836,-0.0014
837,-0.0014
838,-0.0016
839,-0.002
840,-0.002
841,-0.0016
842,-0.0015
843,-0.0023
844,-0.0018
845,-0.0014
846,-0.0017
847,-0.0021
848,-0.0022
849,-0.0014
850,-0.0015
851,-0.0009
852,-0.0019
853,-0.0019
854,-0.0023
855,-0.002
856,-0.0016
857,-0.001
858,-0.0014
859,-0.0015
860,-0.0013
861,-0.0009
862,-0.0014
863,-0.0025
864,-0.0028
865,-0.0012
866,-0.002
867,-0.0022
868,-0.0018
869,-0.0024
870,-0.0018
871,-0.0025
872,-0.0024
873,-0.0023
874,-0.0014
875,-0.0015
876,-0.0013
877,-0.0021
878,-0.0017
879,-0.0012
880,-0.0015
881,-0.0013
882,-0.0015
883,-0.0017
884,-0.0019
885,-0.0021
886,-0.0022
887,-0.0022
888,-0.002
889,-0.0016
890,-0.0017
891,-0.0017
892,-0.0019
893,-0.0016
894,-0.0016
895,-0.0015
896,-0.0016
897,-0.0017
898,-0.0017
899,-0.0021
900,-0.0017
901,-0.0019
902,-0.0019
903,-0.0014
904,-0.0012
905,-0.0015
906,-0.0016
907,-0.0018
908,-0.0021
909,-0.0021
910,-0.0024
911,-0.0017
912,-0.0016
913,-0.0015
914,-0.0017
915,-0.0012
916,-0.0014
917,-0.0013
918,-0.0015
919,-0.0019
920,-0.0018
921,-0.0022
922,-0.0019
923,-0.0019
924,-0.0019
925,-0.0017
926,-0.0015
927,-0.001
928,-0.0014
929,-0.0012
930,-0.0012
931,-0.0017
932,-0.0008
933,-0.0013
934,-0.0016
935,-0.0014
936,-0.001
937,-0.001
938,-0.0013
939,-0.0011
940,-0.0014
941,-0.0013
942,-0.0014
943,-0.0016
944,-0.0012
945,-0.0009
946,-0.0008
947,-0.0009
948,-0.0016
949,-0.001
950,-0.0012
951,-0.0009
952,-0.0007
953,-0.0009
954,-0.0008
955,-0.0012
956,-0.0005
957,0
958,0.0001
959,-0.0004
960,0.0001
961,-0.0008
962,0
963,-0.0004
964,0.0002
965,-0.0006
966,-0.0003
967,0.0006
968,-0.0007
969,0
970,-0.0008
971,-0.0003
972,-0.0002
973,0.0005
974,-0.0003
975,-0.0004
976,-0.0009
977,-0.0004
978,-0.0001
979,-0.0003
980,-0.0001
981,-0.0005
982,-0.0006
983,-0.0009
984,-0.0011
985,-0.0011
986,-0.0008
987,-0.001
988,-0.001
989,-0.0008
990,-0.0014
991,-0.0003
992,-0.0007
993,-0.0008
994,-0.0012
995,-0.0012
996,-0.0011
997,-0.0009
998,-0.0016
999,-0.0012
1000,-0.0014
1001,-0.0018
1002,-0.001
1003,-0.0016
1004,-0.0011
1005,-0.0012
1006,-0.0016
1007,-0.0008
1008,-0.001
1009,-0.0011
1010,-0.0022
1011,-0.0013
1012,-0.0014
1013,-0.0017
1014,-0.0014
1015,-0.0019
1016,-0.0022
1017,-0.0017
1018,-0.0014
1019,-0.0016
1020,-0.0017
1021,-0.0016
1022,-0.0016
1023,-0.0012
1024,-0.0008
1025,-0.0029
1026,-0.0013
1027,-0.0025
1028,-0.0028
1029,-0.0021
1030,-0.0029
1031,-0.0022
1032,-0.0023
1033,-0.0013
1034,-0.0023
1035,-0.0025
1036,-0.0015
1037,-0.0025
1038,-0.0027
1039,-0.0011
1040,0
1041,-0.0024
1042,-0.0006
1043,-0.0013
1044,-0.0043
1045,-0.0033
1046,-0.0023
1047,-0.0023
1048,-0.0037
1049,0.0002
1050,-0.0013
1051,-0.0027
1052,-0.0009
1053,-0.0028
1054,-0.0046
1055,-0.0039
1056,-0.0016
1057,-0.0018
1058,-0.0052
1059,-0.0011
1060,-0.0053
1061,-0.004
1062,0.0002
1063,-0.0043
1064,-0.0022
1065,-0.0021
1066,-0.0004
1067,-0.0026
1068,-0.0025
1069,-0.0049
1070,0.0001
1071,-0.0005
1072,-0.0018
1073,-0.0039
1074,-0.0036
1075,0
1076,0.0015
1077,-0.0061
1078,0.0014
1079,-0.0005
1080,-0.0027
1081,-0.0027
1082,-0.0032
1083,-0.0035
1084,-0.0021
1085,-0.0027
1086,-0.0041
1087,-0.0044
1088,-0.0014
1089,0.0017
1090,-0.0014
1091,0.0034
1092,0.0002
1093,-0.0004
1094,-0.0076
1095,0.001
1096,-0.0043
1097,-0.0043
1098,-0.0062
1099,-0.0028
1100,-0.0033
