CIB.csv,,jackpearson,3/21/2022 3:50:50 PM,GENESYS 10S,2L6M161001,2.001
nm,A
190,-0.0604
191,-0.0389
192,-0.0371
193,-0.0602
194,0.0306
195,-0.0028
196,-0.0368
197,-0.0347
198,-0.0993
199,-0.1149
200,-0.011
201,-0.0734
202,-0.0251
203,-0.0277
204,-0.0544
205,0.0006
206,-0.0142
207,-0.0733
208,-0.0268
209,0.0136
210,-0.0032
211,-0.0125
212,-0.0191
213,-0.0364
214,-0.0343
215,0.0051
216,-0.0285
217,-0.0731
218,0.0481
219,-0.0301
220,-0.0276
221,-0.0899
222,-0.0287
223,-0.0614
224,-0.0842
225,-0.0657
226,-0.0152
227,-0.0519
228,0.0004
229,-0.0567
230,-0.043
231,-0.0067
232,-0.0658
233,-0.0305
234,-0.0745
235,-0.0226
236,-0.0329
237,-0.0123
238,-0.0229
239,-0.0212
240,0.0135
241,-0.0273
242,-0.0119
243,-0.0133
244,0.0118
245,-0.0428
246,0.0173
247,0.0023
248,0.0174
249,0.0127
250,-0.0093
251,-0.0243
252,-0.0053
253,-0.0208
254,-0.0141
255,-0.0162
256,0.0216
257,-0.014
258,-0.0304
259,-0.0265
260,-0.0041
261,-0.0585
262,0.0021
263,-0.0606
264,-0.047
265,-0.021
266,-0.0164
267,-0.0088
268,0.0001
269,0.0006
270,-0.0116
271,-0.0396
272,-0.0477
273,-0.0403
274,-0.0402
275,-0.0212
276,-0.0638
277,-0.0475
278,-0.0166
279,-0.0556
280,-0.0466
281,-0.0621
282,-0.0786
283,-0.0952
284,-0.125
285,-0.1307
286,-0.1634
287,-0.1477
288,-0.1578
289,-0.1632
290,-0.1655
291,-0.1671
292,-0.1623
293,-0.1399
294,-0.1264
295,-0.1184
296,-0.0999
297,-0.0946
298,-0.0834
299,-0.0832
300,-0.0782
301,-0.0746
302,-0.075
303,-0.0725
304,-0.069
305,-0.0679
306,-0.0664
307,-0.0655
308,-0.0641
309,-0.0627
310,-0.0621
311,-0.0617
312,-0.061
313,-0.0597
314,-0.0581
315,-0.0569
316,-0.0555
317,-0.0543
318,-0.0532
319,-0.0519
320,-0.0507
321,-0.0496
322,-0.0489
323,-0.048
324,-0.0468
325,-0.0459
326,-0.0453
327,-0.0446
328,-0.0435
329,-0.0428
330,-0.0418
331,-0.0411
332,-0.04
333,-0.0387
