WA.csv,,jackpearson,3/21/2022 3:50:38 PM,GENESYS 10S,2L6M161001,2.001
nm,A
190,-0.0387
191,-0.0364
192,0.0063
193,-0.05
194,0.028
195,-0.031
196,-0.0029
197,-0.033
198,-0.0516
199,-0.0999
200,0.0426
201,-0.059
202,0.0214
203,-0.0447
204,-0.0608
205,-0.0272
206,-0.0174
207,-0.0376
208,0.0401
209,0.0217
210,0.0126
211,0.0027
212,0.0169
213,-0.0171
214,0.0283
215,-0.0022
216,-0.0086
217,-0.0277
218,0.0225
219,0.016
220,-0.0169
221,-0.11
222,0.0218
223,-0.0692
224,-0.0169
225,-0.05
226,-0.0076
227,-0.046
228,-0.0328
229,-0.0487
230,-0.0253
231,-0.0181
232,-0.0324
233,0.0057
234,-0.0713
235,-0.027
236,-0.0079
237,0.0089
238,-0.0306
239,-0.0098
240,-0.0024
241,0.0197
242,-0.0062
243,-0.0433
244,-0.0084
245,-0.04
246,0.0144
247,0.0271
248,0.0379
249,-0.0165
250,0.0036
251,-0.0028
252,-0.0406
253,0.0072
254,-0.043
255,-0.0877
256,0.0068
257,-0.0395
258,-0.024
259,0.0068
260,-0.0426
261,-0.0122
262,-0.0047
263,-0.0535
264,-0.0476
265,-0.0251
266,-0.0053
267,-0.0156
268,0.0133
269,0.0081
270,0.0171
271,-0.0561
272,-0.0312
273,0.0004
274,-0.0148
275,-0.0367
276,-0.071
277,-0.024
278,-0.0185
279,-0.0472
280,-0.0393
281,-0.0668
282,-0.1
283,-0.1362
284,-0.1768
285,-0.187
286,-0.2006
287,-0.1987
288,-0.2091
289,-0.2054
290,-0.2068
291,-0.2092
292,-0.2017
293,-0.1757
294,-0.1544
295,-0.1334
296,-0.1017
297,-0.0911
298,-0.0853
299,-0.0816
300,-0.0734
301,-0.0664
302,-0.0646
303,-0.0633
304,-0.059
305,-0.0584
306,-0.0563
307,-0.0553
308,-0.0543
309,-0.053
310,-0.0519
311,-0.0521
312,-0.0509
313,-0.0507
314,-0.0491
315,-0.0481
316,-0.047
317,-0.0457
318,-0.0449
319,-0.0442
320,-0.0432
321,-0.0422
