WC.csv,,jackpearson,3/21/2022 3:50:47 PM,GENESYS 10S,2L6M161001,2.001
nm,A
190,-0.0628
191,-0.0625
192,-0.041
193,-0.0647
194,-0.0165
195,-0.0103
196,-0.0426
197,-0.047
198,-0.0716
199,-0.0803
200,0.035
201,-0.0301
202,0.0054
203,-0.0524
204,-0.0698
205,-0.0324
206,-0.0499
207,-0.0651
208,-0.0066
209,0.0047
210,0.0289
211,-0.0464
212,-0.0167
213,-0.0503
214,-0.0089
215,-0.0078
216,-0.006
217,-0.0578
218,-0.0014
219,-0.0296
220,-0.0543
221,-0.1
222,0.0249
223,-0.0116
224,-0.0864
225,-0.0367
226,-0.0368
227,0.0031
228,-0.0166
229,-0.014
230,-0.0367
231,-0.0032
232,-0.0419
233,-0.0522
234,-0.1009
235,0.0287
236,0.0079
237,0.0069
238,-0.0887
239,0.0051
240,-0.0207
241,-0.0025
242,-0.0271
243,-0.0387
244,-0.0051
245,-0.0386
246,-0.0028
247,-0.0078
248,-0.0548
249,-0.0008
250,-0.0246
251,-0.0305
252,-0.0498
253,-0.0283
254,-0.0569
255,-0.0648
256,0.0219
257,-0.0692
258,-0.0302
259,-0.0059
260,-0.0095
261,-0.0681
262,-0.017
263,-0.022
264,-0.0077
265,0.0228
266,-0.0084
267,-0.0193
268,-0.0239
269,0.0017
270,-0.0188
271,-0.0321
272,-0.0696
273,0.0104
274,-0.0173
275,-0.0353
276,-0.0595
277,-0.0412
278,-0.0039
279,-0.0418
280,-0.031
281,-0.0537
282,-0.0605
283,-0.1025
284,-0.1285
285,-0.1401
286,-0.1588
287,-0.1536
288,-0.154
289,-0.1577
290,-0.1588
291,-0.1585
292,-0.155
293,-0.1266
294,-0.123
295,-0.1066
296,-0.0891
297,-0.0764
298,-0.0727
299,-0.0707
300,-0.0653
301,-0.0598
302,-0.0593
303,-0.0585
304,-0.0539
305,-0.0533
306,-0.052
307,-0.0517
308,-0.0496
309,-0.0487
310,-0.0479
311,-0.0473
312,-0.0467
313,-0.0465
314,-0.0449
315,-0.0442
316,-0.0432
317,-0.0421
318,-0.0412
319,-0.0404
320,-0.0394
321,-0.0386
322,-0.0382
323,-0.0376
324,-0.0363
325,-0.0358
326,-0.0351
327,-0.0345
328,-0.0336
329,-0.0333
330,-0.0323
331,-0.0315
332,-0.0308
333,-0.03
334,-0.0288
335,-0.028
336,-0.0274
337,-0.0265
338,-0.0259
339,-0.0256
340,-0.0249
341,-0.0244
342,-0.0233
343,-0.0228
344,-0.0226
345,-0.0225
346,-0.0218
347,-0.0215
348,-0.0212
349,-0.0213
350,-0.02
351,-0.0199
352,-0.0199
353,-0.0194
354,-0.0188
355,-0.0187
356,-0.0186
357,-0.0187
358,-0.0179
359,-0.0178
360,-0.0177
361,-0.0175
362,-0.0171
363,-0.0169
364,-0.0168
365,-0.0163
366,-0.0163
367,-0.0158
368,-0.0155
369,-0.0158
370,-0.0154
371,-0.0148
372,-0.0148
373,-0.015
374,-0.0144
375,-0.0144
376,-0.014
377,-0.014
378,-0.0139
379,-0.0138
380,-0.0139
381,-0.0135
382,-0.0132
383,-0.0132
384,-0.013
385,-0.013
386,-0.0127
387,-0.0125
388,-0.0125
389,-0.0122
390,-0.012
391,-0.0124
392,-0.0121
393,-0.0118
394,-0.0117
395,-0.0117
396,-0.0118
397,-0.0115
