A.csv,,MSU\jackpearson1 (Pearson, Jack),2/14/2022 10:39:00 AM,GENESYS 10S,2L6M161001,2.001
nm,A
190,-0.0499
191,-0.0221
192,-0.0983
193,-0.0047
194,-0.0028
195,-0.0258
196,-0.0142
197,-0.0378
198,0.0109
199,-0.0248
200,0.0078
201,-0.0024
202,-0.0039
203,0.0145
204,-0.0318
205,-0.0334
206,-0.0231
207,0.03
208,0.0195
209,-0.019
210,0.031
211,0.0333
212,-0.0203
213,-0.0052
214,-0.0047
215,0.0013
216,-0.0012
217,0.015
218,-0.031
219,0.0131
220,-0.0257
221,-0.0346
222,0.0065
223,0.0146
224,-0.0125
225,0.0024
226,-0.0376
227,0.0006
228,0.0061
229,-0.0007
230,0.0031
231,0.0232
232,0.0107
233,-0.0267
234,-0.0074
235,-0.0565
236,-0.0162
237,-0.039
238,0.0041
239,0.0031
240,-0.0017
241,-0.0121
242,-0.0051
243,-0.0253
244,0.0061
245,0.0002
246,-0.0368
247,-0.015
248,-0.0229
249,-0.0467
250,-0.0456
251,-0.0382
252,-0.0333
253,-0.0199
254,-0.023
255,-0.0308
256,-0.0191
257,-0.0132
258,-0.0061
259,-0.0086
260,-0.0095
261,-0.0068
262,-0.0069
263,-0.0055
264,-0.0031
265,-0.0028
266,-0.0021
267,-0.0025
268,-0.0018
269,-0.0015
270,-0.0013
271,-0.0007
272,-0.0004
273,-0.0002
274,-0.0004
275,-0.0003
276,0.0007
277,0.0013
278,0.0013
279,0.0005
280,0.0018
281,0.0023
282,0.0017
283,0.0025
284,0.0017
285,0.0019
286,0.0017
287,0.0015
288,0.0016
289,0.0015
290,0.0019
291,0.0017
292,0.0019
293,0.0018
294,0.0015
295,0.0021
296,0.0017
297,0.0017
298,0.0016
299,0.0018
300,0.0017
301,0.0016
302,0.0018
303,0.0018
304,0.0015
305,0.0014
306,0.0015
307,0.002
308,0.0014
309,0.0014
310,0.0013
311,0.0015
312,0.0016
313,0.0017
314,0.0015
315,0.0015
316,0.0016
317,0.0013
318,0.0014
319,0.0013
320,0.0011
321,0.0014
322,0.0012
323,0.0011
324,0.0013
325,0.0014
326,0.0013
327,0.0012
328,0.0015
329,0.0015
330,0.0015
331,0.0014
332,0.0016
333,0.0015
334,0.0014
335,0.0015
336,0.0017
337,0.0016
338,0.0012
339,0.0016
340,0.0018
341,0.0014
342,0.0001
343,0.0013
344,0.0015
345,0.0015
346,0.0013
347,0.0013
348,0.0012
349,0.0008
350,0.0009
351,0.0013
352,0.0015
353,0.0013
354,0.0013
355,0.0013
356,0.0012
357,0.0013
358,0.0011
359,0.0012
360,0.0012
361,0.0011
362,0.0012
363,0.0012
364,0.0016
365,0.001
366,0.0012
367,0.0011
368,0.0004
369,0.0014
370,0.0012
371,0.001
372,0.0009
373,0.0007
374,0.0009
375,0.0012
376,0.001
377,0.0009
378,0.001
379,0.0009
380,0.0009
381,0.0007
382,0.0009
383,0.0009
384,0.0007
385,0.001
386,0.0009
387,0.0009
388,0.0008
389,0.0009
390,0.0006
391,0.0005
392,0.0007
393,0.001
394,0.0008
395,0.0009
396,0.0007
397,0.0009
398,0.0006
399,0.0004
400,0.0007
401,0.0009
402,0.0008
403,0.0011
404,0.0007
405,0.0009
406,0.0007
407,0.0008
408,0.0005
409,0.0008
410,0.0007
411,0.0004
412,0.0005
413,0.0006
414,0.0007
415,0.0008
416,0.0006
417,0.0004
418,0.0008
419,0.0005
420,0.0006
421,0.0007
422,0.0006
423,0.0005
424,0.0005
425,0.0007
426,0.0007
427,0.0005
428,0.0006
429,0.0005
430,0.0005
431,0.0005
432,0.0006
433,0.0005
434,0.0006
435,0.0006
436,0.0004
437,0.0005
438,0.0006
439,0.0006
440,0.0004
441,0.0005
