BL.csv,,MSU\jackpearson1 (Pearson, Jack),2/28/2022 1:24:01 PM,GENESYS 10S,2L6M161001,2.001
nm,A
190,-0.0555
191,-0.0517
192,-0.0577
193,0.0116
194,-0.0088
195,-0.011
196,-0.0222
197,-0.0406
198,0.0309
199,-0.0159
200,0.0055
201,-0.0099
202,-0.0451
203,0.0095
204,-0.0201
205,-0.0028
206,0.0076
207,0.0038
208,0.0268
209,-0.017
210,-0.0033
211,0.0144
212,-0.0117
213,0.0066
214,-0.0041
215,-0.0176
216,-0.0019
217,0.0102
218,-0.0306
219,-0.0005
220,-0.0232
221,-0.0066
222,0.0061
223,0.0132
224,-0.0253
225,-0.0575
226,-0.0263
227,0.0217
228,0.0046
229,-0.0178
230,0.0101
231,-0.0037
232,0.025
233,-0.0281
234,-0.0165
235,-0.046
236,-0.0279
237,-0.0229
238,-0.0036
239,0.018
240,0.0025
241,0.0091
242,-0.0281
243,-0.0278
244,0.0084
245,-0.0033
246,-0.0224
247,0.0037
248,0
249,-0.0149
250,-0.0063
251,-0.0016
252,-0.0078
253,-0.003
254,-0.0044
255,-0.0085
256,-0.0001
257,0.0003
258,0.0009
259,0.0012
260,-0.001
261,0.0006
262,0.0005
263,0.0011
264,0.0009
265,0.0013
266,0.0012
267,0.0026
268,0.0005
269,0.0024
270,0.0019
271,0.0021
272,0.0027
273,0.0025
274,0.0022
275,0.0018
276,0.0028
277,0.0032
278,0.0034
279,0.0033
280,0.003
281,0.004
282,0.0035
283,0.0035
284,0.0029
285,0.0035
286,0.0031
287,0.0031
288,0.003
289,0.0033
290,0.0034
291,0.0027
292,0.0027
293,0.0028
294,0.0024
295,0.0028
296,0.0023
297,0.0026
298,0.0023
299,0.0023
300,0.0023
301,0.0023
302,0.0023
303,0.0022
304,0.0019
305,0.0019
306,0.0019
307,0.0021
308,0.0022
309,0.0019
310,0.0018
311,0.0019
312,0.002
313,0.0022
314,0.0019
315,0.0018
316,0.0019
317,0.0019
318,0.0021
319,0.002
320,0.0016
321,0.0022
322,0.0021
323,0.0019
324,0.0021
325,0.0022
326,0.0021
327,0.0019
328,0.0022
329,0.0022
330,0.0023
331,0.0024
332,0.0024
333,0.0023
334,0.0022
335,0.0022
336,0.0024
337,0.0024
338,0.0024
339,0.0024
340,0.0023
341,0.0021
342,0.0007
343,0.0023
344,0.0022
345,0.0021
346,0.0022
347,0.002
348,0.0018
349,0.0018
350,0.0019
351,0.0021
352,0.0024
353,0.002
354,0.002
355,0.0019
356,0.0019
357,0.0021
358,0.0018
359,0.002
360,0.002
361,0.002
362,0.0019
363,0.0019
364,0.002
365,0.0018
366,0.0018
367,0.0016
368,0.0018
369,0.0018
370,0.0018
371,0.002
372,0.0016
373,0.0014
374,0.0013
375,0.0019
376,0.0017
377,0.0016
378,0.0018
379,0.0018
380,0.0017
381,0.0016
382,0.0018
383,0.0017
384,0.0016
385,0.0017
386,0.0018
387,0.0016
388,0.0016
389,0.0015
390,0.0015
391,0.0017
392,0.0015
393,0.0019
394,0.0015
395,0.002
396,0.0014
397,0.0018
398,0.0014
399,0.0013
400,0.0014
401,0.0015
402,0.0015
403,0.0017
404,0.0015
405,0.0014
406,0.0018
407,0.002
408,0.0015
409,0.0015
410,0.0015
411,0.0013
412,0.0014
413,0.0016
414,0.0014
415,0.0014
416,0.0014
417,0.0011
418,0.0015
419,0.0014
420,0.0017
421,0.0013
422,0.001
423,0.0014
424,0.0015
425,0.0014
426,0.0012
427,0.0014
428,0.0017
429,0.0012
430,0.0013
431,0.0013
432,0.0014
433,0.0011
434,0.0014
435,0.0013
436,0.0011
437,0.0014
438,0.0014
439,0.0013
440,0.0012
441,0.0013
442,0.0013
443,0.0013
444,0.0012
445,0.0012
446,0.0013
447,0.0013
448,0.0012
449,0.0012
450,0.0013
451,0.0013
452,0.0013
453,0.0011
454,0.0009
455,0.0016
456,0.0012
457,0.0011
458,0.0012
459,0.0013
460,0.0013
461,0.0012
462,0.0013
463,0.0013
464,0.0013
465,0.0011
466,0.0014
467,0.0012
468,0.0012
469,0.0012
470,0.0013
471,0.0011
472,0.0011
473,0.0013
474,0.0012
475,0.0014
476,0.0011
477,0.0011
478,0.0013
479,0.0011
480,0.0014
481,0.0015
482,0.0009
483,0.0011
484,0.0011
485,0.0016
486,0.0014
487,0.0013
488,0.0012
489,0.0012
490,0.0013
491,0.001
492,0.0016
493,0.0011
494,0.0011
495,0.001
