BT.csv,,MSU\jackpearson1 (Pearson, Jack),2/28/2022 1:25:52 PM,GENESYS 10S,2L6M161001,2.001
nm,A
190,-0.0412
191,-0.0452
192,-0.0519
193,-0.0077
194,-0.0197
195,-0.0232
196,-0.0464
197,-0.0333
198,-0.0301
199,-0.0215
200,-0.0104
201,-0.0236
202,-0.0358
203,-0.0021
204,0.0008
205,-0.0029
206,-0.0056
207,0.0278
208,0.0264
209,0.0019
210,0.0007
211,0.0257
212,0.0149
213,-0.0013
214,-0.0039
215,-0.006
216,-0.0055
217,-0.0075
218,-0.0049
219,0.0041
220,-0.0286
221,-0.0256
222,-0.0007
223,0.032
224,-0.0062
225,-0.0099
226,-0.0062
227,0.0208
228,-0.0128
229,-0.006
230,0.0003
231,-0.0073
232,0.0308
233,0.001
234,-0.0118
235,-0.037
236,-0.0198
237,-0.0387
238,0.0239
239,-0.0154
240,0.0334
241,0.0223
242,0.0117
243,-0.0052
244,0.0006
245,0.0001
246,-0.0162
247,-0.0045
248,0.0026
249,0.0126
250,0.0071
251,0.0143
252,0.007
253,0.0181
254,0.0001
255,-0.0006
256,0.0018
257,0.0092
258,0.01
259,0.011
260,0.007
261,0.0082
262,0.0088
263,0.0077
264,0.0077
265,0.0094
266,0.0085
267,0.0087
268,0.0069
269,0.0086
270,0.008
271,0.0082
272,0.0083
273,0.0085
274,0.0079
275,0.0085
276,0.0082
277,0.0087
278,0.0087
279,0.0078
280,0.0079
281,0.0085
282,0.0085
283,0.0081
284,0.0071
285,0.0078
286,0.0071
287,0.0073
288,0.0069
289,0.0073
290,0.0073
291,0.0069
292,0.0069
293,0.0068
294,0.0066
295,0.0065
296,0.0062
297,0.0064
298,0.0061
299,0.0061
300,0.0058
301,0.0058
302,0.0056
303,0.0056
304,0.0055
305,0.0052
306,0.0052
307,0.0053
308,0.0056
309,0.0051
310,0.0047
311,0.0049
312,0.0046
313,0.005
314,0.0045
315,0.0045
316,0.0045
317,0.0042
318,0.0045
319,0.0044
320,0.004
321,0.0041
322,0.0039
323,0.004
324,0.0041
325,0.0039
326,0.0041
327,0.0037
328,0.0039
329,0.0038
330,0.004
331,0.0037
332,0.0039
333,0.0036
334,0.0035
335,0.0035
336,0.0038
337,0.0035
338,0.0037
339,0.0037
340,0.0032
341,0.0033
342,0.002
343,0.0034
344,0.0033
345,0.0032
346,0.0032
347,0.003
348,0.0028
349,0.0025
350,0.0026
351,0.003
352,0.0033
353,0.0031
354,0.0027
355,0.0028
356,0.0027
357,0.0027
358,0.0026
359,0.0025
360,0.0026
361,0.0026
362,0.0025
363,0.0026
364,0.003
365,0.0024
366,0.0024
367,0.0025
368,0.0018
369,0.0022
370,0.0025
371,0.0023
372,0.0022
373,0.002
374,0.0017
375,0.0021
376,0.0019
377,0.0019
378,0.002
379,0.002
380,0.002
381,0.0019
382,0.0019
383,0.002
384,0.0019
385,0.0019
386,0.0018
387,0.0018
388,0.0018
389,0.0019
390,0.0015
391,0.0016
392,0.0018
393,0.0018
394,0.0016
395,0.0014
396,0.0017
397,0.0017
398,0.0015
399,0.0012
400,0.0014
401,0.0017
402,0.0014
403,0.0014
404,0.0012
405,0.0015
406,0.0016
407,0.0015
408,0.001
409,0.0012
410,0.0018
411,0.0008
412,0.0008
413,0.0014
414,0.0014
415,0.0013
416,0.0015
417,0.0013
418,0.0017
419,0.0013
420,0.0015
421,0.0012
422,0.0013
423,0.0009
424,0.0011
425,0.0014
426,0.0012
427,0.0013
428,0.0014
429,0.0012
430,0.0013
431,0.0012
432,0.0013
433,0.0011
434,0.0012
435,0.0012
436,0.001
437,0.001
438,0.0013
439,0.0012
440,0.0011
441,0.0011
442,0.0011
443,0.0011
444,0.0009
445,0.0011
446,0.001
447,0.0011
448,0.0009
449,0.0009
450,0.001
451,0.0009
452,0.001
453,0.0008
454,0.001
455,0.0011
456,0.0011
457,0.0012
458,0.0009
459,0.0011
460,0.0011
461,0.001
462,0.0011
463,0.001
464,0.001
465,0.001
466,0.001
467,0.001
468,0.0009
469,0.0012
470,0.0011
471,0.0011
472,0.001
473,0.0012
474,0.0011
475,0.001
476,0.001
477,0.001
478,0.0011
479,0.0008
480,0.0014
481,0.0011
482,0.0008
483,0.0007
484,0.0011
485,0.0012
486,0.0012
487,0.0012
488,0.001
489,0.001
490,0.001
491,0.001
492,0.0013
493,0.001
494,0.001
495,0.0011
496,0.0009
497,0.0007
498,0.0009
499,0.0012
500,0.0011
501,0.0011
502,0.001
503,0.001
504,0.0009
505,0.001
506,0.0007
507,0.0009
508,0.0008
509,0.0009
510,0.0005
511,0.0006
512,0.0009
513,0.0005
514,0.0008
515,0.0009
516,0.0009
517,0.0008
518,0.001
519,0.0014
520,0.0008
521,0.0011
522,0.0009
523,0.0007
524,0.0006
525,0.0008
526,0.0007
527,0.0009
528,0.0008
529,0.0007
530,0.0008
531,0.0008
532,0.0008
533,0.0009
534,0.0009
535,0.0008
536,0.0009
537,0.0007
538,0.0007
539,0.0007
540,0.0007
541,0.0006
542,0.0004
543,0.0005
544,0.0006
545,0.0007
546,0.0007
547,0.0004
548,0.0004
549,0.0007
550,0.0007
551,0.001
552,0.0007
553,0.0005
554,0.0004
555,0.0005
556,0.0008
557,0.0008
558,0.0008
559,0.0004
560,0.0008
561,0.0005
562,0.0003
563,0.0008
564,0.0006
565,0.0011
566,0.0006
567,0.0002
568,0.0012
569,0.0006
570,0.0004
571,0.0004
572,0.0004
573,0.0005
574,0.0003
575,0.0005
576,0.0007
577,0.0006
578,0.0006
579,0.0006
580,0.0005
581,0
582,0.0008
583,0.0011
584,0.0006
585,0.0006
586,0.0004
587,0.0001
588,0.0006
589,0.0012
590,0.0009
591,0.0008
592,0.0004
593,0.0002
594,0.0005
595,0.0007
596,0.0004
597,0.0007
598,0.0006
599,0.0009
600,0.001
601,0.0009
602,0.0004
603,0.0006
604,0.0002
605,0.0008
606,0.0006
607,0.0005
608,0.0007
609,0.0002
610,0.0006
611,0.0002
612,0.0007
613,-0.0001
614,0.0007
615,0.0008
616,0.0005
617,0.0007
618,0.001
619,0.0004
620,-0.0001
621,0.0004
622,0.0009
623,0.001
624,0.0004
625,0.0004
626,0.0004
627,0.0005
628,0.0005
629,0.0009
630,0.0011
631,0.0005
632,0.0008
633,0.0005
634,0.0008
635,0.0008
636,0.0004
637,0.0006
638,0.0011
639,0.0004
640,0.0011
641,0.0006
642,0.0006
643,0.0006
644,-0.0002
645,0.0005
646,0.0012
647,0.0006
648,0.0006
649,0.0008
650,0.0001
651,0.001
652,0
653,0.0004
654,0.0002
655,0.0011
656,0.0005
657,0.0008
658,0.0007
659,0.001
660,0
661,0.0008
662,0
663,0.0005
664,0.0007
665,0.0002
666,0.0001
667,0
668,0.0005
669,0.0008
670,0.0011
