BU.csv,,MSU\jackpearson1 (Pearson, Jack),2/28/2022 1:25:14 PM,GENESYS 10S,2L6M161001,2.001
nm,A
190,-0.0494
191,-0.0388
192,-0.069
193,0.0068
194,0.0087
195,0.0116
196,-0.0327
197,-0.0401
198,-0.0088
199,0.0001
200,0.0057
201,-0.019
202,-0.0215
203,-0.0201
204,0.0068
205,-0.0174
206,0.0038
207,0.0244
208,0.0362
209,0.0186
210,-0.0034
211,0.0245
212,-0.0209
213,0.0012
214,-0.0256
215,-0.0158
216,0.03
217,-0.0161
218,-0.0335
219,0.0146
220,-0.0251
221,-0.0179
222,-0.0173
223,0.0293
224,0.0004
225,0.0071
226,-0.0012
227,0.0176
228,-0.0157
229,-0.0203
230,-0.0122
231,-0.0104
232,0.0273
233,-0.0091
234,-0.0277
235,-0.0345
236,-0.0237
237,-0.0303
238,0.012
239,0.0006
240,0.0153
241,0.0132
242,-0.0063
243,-0.0276
244,-0.0049
245,0.0133
246,-0.0077
247,-0.0006
248,0.0055
249,0.0149
250,0.0051
251,0.0152
252,0.0071
253,0.0127
254,0.0043
255,0.0024
256,0.003
257,0.0121
258,0.0095
259,0.01
260,0.0069
261,0.0084
262,0.0079
263,0.0098
264,0.0087
265,0.009
266,0.0102
267,0.0102
268,0.0086
269,0.009
270,0.0087
271,0.0079
272,0.0085
273,0.0086
274,0.0077
275,0.0087
276,0.0084
277,0.0085
278,0.0085
279,0.0079
280,0.0084
281,0.0087
282,0.0084
283,0.0087
284,0.0073
285,0.0075
286,0.0076
287,0.007
288,0.0066
289,0.0068
290,0.0068
291,0.0067
292,0.0064
293,0.0063
294,0.0062
295,0.0063
296,0.0057
297,0.0058
298,0.0055
299,0.0056
300,0.0055
301,0.006
302,0.0054
303,0.0052
304,0.0051
305,0.0047
306,0.0047
307,0.005
308,0.0049
309,0.0045
310,0.0042
311,0.0045
312,0.0044
313,0.0043
314,0.0043
315,0.0042
316,0.0041
317,0.004
318,0.004
319,0.004
320,0.0037
321,0.0036
322,0.0035
323,0.0035
324,0.0034
325,0.0034
326,0.0035
327,0.0033
328,0.0035
329,0.0035
330,0.0034
331,0.0033
332,0.0034
333,0.0032
334,0.0031
335,0.0031
336,0.0032
337,0.0033
338,0.0031
