SA.csv,,jackpearson,3/9/2022 2:47:26 PM,GENESYS 10S,2L6M161001,2.001
nm,A
190,-0.0504
191,-0.0093
192,0.0193
193,-0.0081
194,-0.0095
195,0.0237
196,-0.0019
197,-0.006
198,-0.0133
199,-0.0349
200,-0.0196
201,-0.003
202,0.0019
203,0.0354
204,0.0351
205,0.0027
206,0.012
207,-0.003
208,0.0081
209,0.0059
210,0.0653
211,-0.0257
212,0.005
213,-0.0013
214,-0.0151
215,0.0366
216,0.0197
217,-0.017
218,-0.0124
219,0.0179
220,0.0095
221,-0.0104
222,0.0161
223,-0.0465
224,0.0209
225,0.0154
226,-0.0092
227,0.0097
228,-0.0042
229,-0.0173
230,-0.0115
231,-0.004
232,-0.0174
233,0.0105
234,0.005
235,0.028
236,0.025
237,-0.0567
238,-0.0217
239,0.01
240,-0.0252
241,0.0281
242,-0.0018
243,-0.0377
244,-0.0074
245,0.0023
246,0.0195
247,0.0138
248,-0.0228
249,0.0203
250,-0.0293
251,0.0237
252,-0.0178
253,0.0369
254,-0.0134
255,0.0174
256,0.0233
257,0.0066
258,-0.0039
259,-0.0092
260,-0.0085
261,0.001
262,-0.0123
263,-0.003
264,0.075
265,0.0105
266,-0.0245
267,-0.0117
268,0.0128
269,-0.0056
270,0.0213
271,-0.0043
272,-0.0044
273,-0.0253
274,-0.0153
275,0.0112
276,0.0223
277,-0.0213
278,0.0028
279,0.002
280,0.0159
281,-0.0053
282,0.0199
283,-0.0001
284,-0.0067
285,0.0197
286,0.0131
287,0.012
288,0.0087
289,0.0099
290,0.0106
291,0.0101
292,0.0082
293,0.0172
294,0.0113
295,0.0178
296,0.0106
297,0.0141
298,0.0061
299,0.0084
300,0.011
301,0.01
302,0.0082
303,0.009
304,0.0089
305,0.0093
306,0.008
307,0.0088
308,0.0077
309,0.0073
310,0.0081
311,0.0078
312,0.0073
313,0.0074
314,0.0071
315,0.0066
316,0.0069
317,0.0068
318,0.0061
319,0.0062
320,0.0061
321,0.0063
322,0.0056
323,0.0062
324,0.0057
325,0.0054
326,0.0055
327,0.0053
328,0.0052
329,0.0048
330,0.0048
331,0.0047
332,0.0047
333,0.0044
334,0.0045
335,0.0041
336,0.0045
337,0.004
338,0.0041
339,0.004
340,0.0037
341,0.0038
342,0.0036
343,0.0037
344,0.0033
345,0.0035
346,0.0033
347,0.0033
348,0.0034
349,0.0036
350,0.0033
351,0.003
352,0.0034
353,0.004
354,0.0034
355,0.0033
356,0.0034
357,0.0033
358,0.0034
359,0.0035
360,0.0033
361,0.0033
362,0.003
363,0.0029
364,0.0028
365,0.0027
366,0.0028
367,0.0028
368,0.0024
369,0.0028
370,0.0023
371,0.0022
372,0.0021
373,0.002
374,0.0022
375,0.002
376,0.0021
377,0.0019
378,0.0017
379,0.0018
380,0.0017
381,0.0016
382,0.0018
383,0.0017
384,0.0017
385,0.0017
386,0.0016
387,0.0016
388,0.0014
389,0.0015
390,0.0015
391,0.0015
392,0.0016
393,0.0016
394,0.0015
395,0.0017
396,0.0015
397,0.0013
398,0.0015
399,0.0015
400,0.0015
401,0.0015
402,0.0014
403,0.0013
404,0.0015
405,0.0013
406,0.0014
407,0.0013
408,0.0012
409,0.0013
410,0.0014
411,0.0015
412,0.0007
413,0.0014
414,0.0012
415,0.0014
416,0.0014
417,0.0012
418,0.0011
419,0.0012
420,0.0012
421,0.0012
422,0.0008
423,0.0011
424,0.001
425,0.0009
426,0.0011
427,0.001
428,0.0011
429,0.0011
430,0.0011
431,0.001
432,0.001
433,0.001
434,0.0011
435,0.0011
436,0.0011
437,0.0012
438,0.0012
439,0.0012
440,0.001
441,0.001
442,0.0011
443,0.0011
444,0.0009
445,0.0011
446,0.0012
447,0.0012
448,0.0011
449,0.0011
450,0.001
451,0.0011
452,0.0011
453,0.0012
454,0.0009
455,0.0007
456,0.0009
457,0.001
458,0.0012
459,0.0012
460,0.001
461,0.0011
462,0.001
463,0.0009
464,0.0011
465,0.0011
466,0.0011
467,0.0008
468,0.0011
469,0.0011
470,0.001
471,0.001
472,0.001
473,0.0011
474,0.001
475,0.001
476,0.0012
477,0.0011
478,0.001
479,0.0009
480,0.0007
481,0.0011
482,0.0011
483,0.0011
484,0.0009
485,0.001
486,0.001
487,0.0008
488,0.0009
489,0.0007
490,0.0007
491,0.0007
492,0.001
493,0.0008
494,0.001
495,0.0007
496,0.0007
497,0.0008
498,0.0008
499,0.0009
500,0.0007
501,0.0013
502,0.0009
503,0.0008
504,0.0007
505,0.0007
506,0.0009
507,0.0006
508,0.001
509,0.0009
510,0.0007
511,0.0009
512,0.0005
513,0.0007
514,0.0006
515,0.0009
516,0.0007
517,0.0008
518,0.0005
519,0.0012
520,0.0007
521,0.0008
522,0.001
523,0.0008
524,0.001
525,0.0008
526,0.0011
527,0.0009
528,0.001
529,0.0009
530,0.0009
531,0.0007
532,0.0006
533,0.0006
534,0.0004
535,0.0003
536,0.0007
537,0.0008
538,0.0006
539,0.0009
540,0.0008
541,0.0009
542,0.0007
543,0.001
544,0.0006
545,0.0007
546,0.0005
547,0.001
548,0.0006
549,0.0006
550,0.001
551,0.0006
552,0.0011
553,0.0009
554,0.0007
555,0.0006
556,0.0006
557,0.0011
558,0.0006
559,0.0005
560,0.001
561,0.0005
562,0.0008
563,0.0007
564,0.0005
565,0.0007
566,0.0007
567,0.0008
568,0.0007
569,0.0011
570,0.0008
