SB.csv,,jackpearson,3/9/2022 2:47:28 PM,GENESYS 10S,2L6M161001,2.001
nm,A
190,-0.0303
191,-0.0561
192,-0.0071
193,-0.0356
194,-0.051
195,-0.0137
196,-0.0556
197,-0.0157
198,-0.0175
199,-0.011
200,0.0399
201,-0.0201
202,0.0172
203,0.0635
204,-0.0253
205,-0.0312
206,0.0359
207,0.0345
208,-0.0025
209,-0.0054
210,-0.0132
211,-0.043
212,0.0007
213,-0.016
214,0.008
215,-0.0016
216,0.0325
217,-0.0015
218,0.0123
219,0.0216
220,0.019
221,-0.0027
222,-0.0123
223,-0.0314
224,0.0466
225,-0.0074
226,-0.0076
227,0.0271
228,0.0096
229,-0.0616
230,-0.0245
231,0.0087
232,-0.0124
233,-0.0199
234,0.0058
235,0.0132
236,0.0207
237,-0.0264
238,0.0009
239,-0.0021
240,-0.0341
241,0.0244
242,0.0048
243,0.0052
244,-0.0269
245,0.0099
246,-0.0083
247,0.0273
248,-0.0265
249,0.0448
250,-0.0272
251,0.0175
252,0.0028
253,0.0017
254,0.0065
255,0.0137
256,0.0049
257,-0.0159
258,-0.0104
259,-0.0123
260,0.0024
261,-0.0062
262,-0.0125
263,0.0117
264,0.0308
265,0.0208
266,-0.0021
267,-0.0007
268,0.0357
269,-0.0255
270,0.0045
271,-0.031
272,-0.0172
273,-0.016
274,0.0039
275,0.0083
276,-0.0016
277,-0.0055
278,0.0107
279,0.0052
280,0.0058
281,-0.0083
282,0.0208
283,-0.0035
284,-0.0089
285,0.0159
286,0.0182
287,0.021
288,0.0043
289,0.0085
290,0.0101
291,0.0039
292,0.0072
293,0.002
294,0.0037
295,0.0095
296,0.0021
297,0.0046
298,-0.001
299,0.002
300,0.0026
301,0.0023
302,0.0008
303,0.0015
304,0.0015
305,0.0006
306,0.0003
307,0.0008
308,0.0015
309,0.0003
310,0.0003
311,0.0012
312,0.0009
313,0.001
314,0.0006
315,0.0004
316,0.0005
317,0.0009
318,0.0004
319,0.0005
320,0.0007
321,0.0008
322,0.0005
323,0.0012
324,0.0008
325,0.0008
326,0.0007
327,0.0007
328,0.0009
329,0.0009
330,0.0007
331,0.0007
332,0.0011
333,0.0006
334,0.0009
335,0.0009
336,0.0013
337,0.0007
338,0.0009
339,0.001
340,0.0009
341,0.001
342,0.0011
343,0.0012
344,0.0008
345,0.0011
346,0.0011
347,0.0012
348,0.0014
349,0.0013
350,0.0013
351,0.0012
352,0.0015
353,0.0013
354,0.0013
355,0.0013
356,0.0014
357,0.0014
358,0.0012
359,0.0012
360,0.0014
361,0.0015
362,0.0014
363,0.0012
364,0.0012
365,0.001
366,0.001
367,0.0012
368,0.001
369,0.0011
370,0.0008
371,0.0008
372,0.0006
373,0.0006
374,0.0005
375,0.0005
376,0.0003
377,0.0003
378,0
379,0
380,0.0001
381,-0.0001
382,0
383,-0.0001
384,0
385,-0.0001
386,-0.0002
387,-0.0002
388,-0.0003
389,-0.0002
390,-0.0003
391,-0.0004
392,-0.0001
393,0.0003
394,-0.0001
395,-0.0001
396,-0.0005
397,-0.0005
398,-0.0005
399,-0.0004
400,-0.0005
401,-0.0004
402,-0.0006
403,-0.0006
404,-0.0005
405,-0.0006
406,-0.0004
407,-0.0004
408,-0.0005
409,-0.0004
410,-0.0002
411,-0.0003
412,0
413,-0.0005
414,-0.0005
415,-0.0003
416,-0.0006
417,-0.0005
418,-0.0003
419,-0.0005
420,-0.0005
421,-0.0005
422,-0.0005
423,-0.0002
424,-0.0002
425,-0.0005
426,-0.0005
427,-0.0004
428,-0.0005
429,-0.0004
430,-0.0004
431,-0.0004
432,-0.0005
433,-0.0005
434,-0.0005
435,-0.0003
436,-0.0004
437,-0.0004
438,-0.0002
439,-0.0004
440,-0.0005
441,-0.0004
442,-0.0004
443,-0.0003
444,-0.0004
445,-0.0004
446,-0.0005
447,-0.0004
448,-0.0004
449,-0.0003
450,-0.0004
451,-0.0004
452,-0.0004
453,-0.0004
454,-0.0004
455,-0.0006
456,-0.0004
457,-0.0002
458,-0.0004
459,-0.0004
460,-0.0006
461,-0.0006
462,-0.0004
463,-0.0004
464,-0.0002
465,-0.0006
466,-0.0002
467,-0.0008
468,-0.0005
469,-0.0005
470,-0.0005
471,-0.0005
472,-0.0005
473,-0.0006
474,-0.0006
475,-0.0004
476,-0.0004
477,-0.0004
478,-0.0006
479,-0.0008
480,-0.0009
481,-0.0005
482,-0.0006
483,-0.0006
484,-0.0004
485,-0.0005
486,-0.0005
487,-0.0005
488,-0.0005
489,-0.0006
490,-0.0005
491,-0.0006
492,-0.0006
493,-0.0003
494,-0.0005
495,-0.0004
496,-0.0005
497,-0.0004
498,-0.0004
499,-0.0003
500,-0.0001
501,-0.0006
502,-0.0004
503,-0.0002
504,-0.0003
505,-0.0006
506,-0.0003
507,-0.0004
508,-0.0003
509,-0.0002
510,-0.0005
511,-0.0003
512,-0.0005
513,-0.0003
514,-0.0002
515,-0.0003
516,-0.0005
517,-0.0005
518,-0.0004
519,-0.0003
520,-0.0001
521,-0.0006
522,-0.0003
523,-0.0003
524,-0.0002
525,-0.0003
526,-0.0001
527,-0.0002
528,-0.0001
529,0
530,0
531,-0.0002
532,-0.0002
533,-0.0003
534,-0.0002
535,-0.0003
536,-0.0005
537,-0.0004
538,-0.0003
539,0
540,-0.0001
541,-0.0002
542,-0.0003
543,0
544,-0.0002
545,-0.0002
546,-0.0003
547,0.0004
548,-0.0004
549,-0.0004
550,-0.0001
551,-0.0003
552,0.0002
553,-0.0002
554,-0.0002
555,-0.0002
556,-0.0004
557,0.0002
558,-0.0001
559,-0.0004
560,-0.0001
561,-0.0004
562,0
563,-0.0004
564,-0.0002
565,-0.0006
566,-0.0003
567,-0.0005
568,0.0001
569,0.0001
570,0
571,-0.0002
572,-0.0001
573,-0.0005
574,-0.0005
