WB.csv,,jackpearson,3/21/2022 3:50:46 PM,GENESYS 10S,2L6M161001,2.001
nm,A
190,-0.0544
191,-0.0435
192,-0.0362
193,-0.0393
194,-0.0038
195,-0.0017
196,0.0082
197,-0.0365
198,-0.0429
199,-0.0552
200,0.0082
201,-0.0801
202,-0.0369
203,-0.0491
204,-0.0513
205,0.0085
206,-0.0036
207,-0.0185
208,0.0217
209,-0.0265
210,-0.0006
211,-0.0752
212,-0.0155
213,-0.044
214,-0.0336
215,0.0288
216,-0.0409
217,-0.0334
218,0.0313
219,-0.0234
220,-0.039
221,-0.0292
222,0.0261
223,-0.0567
224,-0.0987
225,-0.0359
226,-0.0152
227,-0.0285
228,-0.0211
229,-0.0063
230,-0.0319
231,0.0078
232,0.0006
233,-0.0512
234,-0.0613
235,-0.0143
236,0.0185
237,0.0278
238,-0.0131
239,0.008
240,-0.0002
241,0.0261
242,0.0108
243,-0.0239
244,0.0266
245,-0.0736
246,0.014
247,0.0406
248,0.0481
249,0.0088
250,0.024
251,-0.0291
252,-0.0088
253,-0.043
254,-0.0243
255,-0.0164
256,0.0155
257,-0.0317
258,-0.0194
259,0.0271
260,-0.0504
261,-0.0135
262,0.0096
263,-0.0149
264,0.0054
265,-0.0416
266,-0.0087
267,-0.0221
268,-0.0044
269,-0.0258
270,-0.023
271,-0.0302
272,-0.0409
273,-0.0197
274,-0.012
275,-0.0255
276,-0.0401
277,-0.0305
278,-0.0121
279,-0.0443
280,-0.0133
281,-0.055
282,-0.0738
283,-0.1086
284,-0.1329
285,-0.1537
286,-0.1723
287,-0.1704
288,-0.1698
289,-0.1658
290,-0.1736
291,-0.1738
292,-0.1684
293,-0.1422
294,-0.1269
295,-0.1054
296,-0.082
297,-0.0753
298,-0.0712
299,-0.0639
300,-0.0593
301,-0.0553
302,-0.0512
303,-0.05
304,-0.0471
305,-0.0447
306,-0.044
307,-0.043
308,-0.0416
309,-0.0411
310,-0.0401
311,-0.0401
312,-0.0391
313,-0.0392
314,-0.0377
315,-0.0369
316,-0.0354
317,-0.0345
318,-0.0341
319,-0.0332
320,-0.0318
