WFB.csv,,jackpearson,3/21/2022 3:50:49 PM,GENESYS 10S,2L6M161001,2.001
nm,A
190,-0.0714
191,-0.0564
192,-0.0549
193,-0.003
194,-0.0241
195,-0.0205
196,-0.0413
197,-0.0602
198,-0.0496
199,-0.0867
200,-0.0484
201,-0.0664
202,0.0037
203,-0.0513
204,-0.0214
205,-0.0205
206,0.0249
207,-0.0651
208,-0.0143
209,0.0127
210,-0.0376
211,-0.0098
212,-0.0219
213,-0.0042
214,-0.0251
215,-0.0106
216,-0.0216
217,-0.0379
218,0.0376
219,-0.0273
220,-0.0396
221,-0.118
222,-0.007
223,-0.0787
224,-0.0537
225,-0.0575
226,-0.0221
227,-0.0011
228,-0.0497
229,-0.0557
230,-0.0357
231,-0.0207
232,0.0259
233,-0.0623
234,-0.0414
235,-0.0266
236,-0.0316
237,0.005
238,-0.0631
239,-0.0438
240,-0.0234
241,-0.026
242,-0.0265
243,-0.0449
244,-0.0104
245,-0.0761
246,-0.0122
247,-0.0148
248,-0.0141
249,-0.0037
250,-0.0201
251,-0.0618
252,-0.0224
253,-0.0318
254,-0.0425
255,-0.0734
256,-0.0441
257,-0.086
258,-0.0702
259,-0.0042
260,-0.0513
261,-0.065
262,-0.0149
263,-0.0443
264,-0.0522
265,-0.0094
266,-0.037
267,-0.0326
268,-0.0226
269,-0.0374
270,-0.0569
271,-0.0703
272,-0.0676
273,-0.0283
274,-0.023
275,-0.023
276,-0.0472
277,-0.0846
278,-0.0247
279,-0.0843
280,-0.0596
281,-0.0884
282,-0.1372
283,-0.2034
284,-0.2334
285,-0.2508
286,-0.2468
287,-0.2864
288,-0.2518
289,-0.2575
290,-0.2872
291,-0.2083
292,-0.2557
293,-0.2532
294,-0.204
295,-0.1844
296,-0.1585
297,-0.1368
298,-0.1262
299,-0.1195
300,-0.112
301,-0.1034
302,-0.0996
303,-0.0979
304,-0.0918
305,-0.0902
306,-0.0877
307,-0.0868
308,-0.0844
309,-0.083
310,-0.0817
311,-0.0811
312,-0.0801
313,-0.0788
314,-0.0769
315,-0.0748
316,-0.0734
317,-0.0718
318,-0.0699
319,-0.0686
320,-0.0666
321,-0.0654
322,-0.064
323,-0.063
324,-0.0615
325,-0.0603
326,-0.0594
327,-0.0584
328,-0.0572
329,-0.0563
330,-0.0549
331,-0.0537
332,-0.0521
333,-0.051
334,-0.0494
335,-0.0484
336,-0.0473
337,-0.0464
338,-0.0454
339,-0.0447
340,-0.0437
341,-0.0428
342,-0.042
343,-0.0411
344,-0.0408
345,-0.0406
346,-0.0399
347,-0.0392
348,-0.0386
349,-0.0386
350,-0.0375
351,-0.0375
352,-0.0368
353,-0.0365
354,-0.0355
355,-0.0352
356,-0.0348
357,-0.0349
358,-0.0337
359,-0.0334
360,-0.0331
361,-0.0329
362,-0.0321
363,-0.0317
364,-0.0312
365,-0.031
366,-0.0305
367,-0.0297
368,-0.0284
369,-0.028
370,-0.027
371,-0.0259
372,-0.0254
373,-0.0248
374,-0.0239
375,-0.0229
376,-0.0222
377,-0.0218
378,-0.0216
379,-0.0213
380,-0.0209
381,-0.0205
382,-0.0199
383,-0.0198
384,-0.0197
385,-0.0193
386,-0.0191
387,-0.0188
388,-0.0187
389,-0.0183
390,-0.0181
391,-0.0183
392,-0.0179
393,-0.0175
394,-0.0173
395,-0.0174
396,-0.0172
397,-0.0169
398,-0.0169
399,-0.0166
400,-0.0165
401,-0.0162
402,-0.0164
403,-0.016
404,-0.0161
405,-0.016
406,-0.0158
407,-0.0158
408,-0.0155
409,-0.0154
410,-0.0157
411,-0.0149
412,-0.0148
413,-0.0146
414,-0.0143
415,-0.0143
416,-0.0142
417,-0.0143
418,-0.0144
419,-0.0138
420,-0.0139
421,-0.0138
422,-0.014
423,-0.0139
424,-0.0139
425,-0.0137
426,-0.0135
427,-0.0135
428,-0.0133
429,-0.013
430,-0.0131
431,-0.0128
432,-0.0128
433,-0.0126
434,-0.0127
435,-0.0125
436,-0.0122
437,-0.0124
438,-0.0121
439,-0.0122
440,-0.012
441,-0.0121
442,-0.0118
443,-0.0117
444,-0.0118
445,-0.0116
446,-0.0117
447,-0.0114
448,-0.0115
449,-0.0113
450,-0.0114
451,-0.0111
452,-0.0111
453,-0.0113
454,-0.0114
455,-0.0109
456,-0.011
457,-0.0105
458,-0.0108
459,-0.0106
460,-0.0106
461,-0.0105
462,-0.0104
463,-0.0103
464,-0.0106
465,-0.0107
466,-0.0102
467,-0.0103
468,-0.0104
469,-0.0101
470,-0.0102
471,-0.0099
472,-0.0097
473,-0.0097
474,-0.0096
475,-0.0098
476,-0.0096
477,-0.0096
478,-0.0096
479,-0.0096
480,-0.0092
481,-0.0093
482,-0.0096
483,-0.0094
484,-0.0092
485,-0.0097
486,-0.0093
487,-0.0094
488,-0.0091
489,-0.0091
490,-0.009
491,-0.0091
492,-0.0091
493,-0.009
494,-0.0087
495,-0.0088
496,-0.0088
497,-0.009
498,-0.0089
499,-0.0087
500,-0.0086
501,-0.0087
502,-0.0085
503,-0.0085
504,-0.0086
505,-0.0084
506,-0.0084
507,-0.0082
508,-0.0084
509,-0.0084
510,-0.0082
511,-0.0084
512,-0.0081
513,-0.0079
514,-0.0084
515,-0.0079
516,-0.0082
517,-0.0081
518,-0.0085
519,-0.0085
520,-0.0081
521,-0.008
522,-0.008
523,-0.008
524,-0.0082
525,-0.0077
526,-0.0075
527,-0.0078
528,-0.0076
529,-0.0074
530,-0.0075
531,-0.0074
532,-0.0075
533,-0.0074
534,-0.0076
535,-0.0076
536,-0.0073
537,-0.0073
538,-0.0074
539,-0.0071
540,-0.0072
541,-0.0071
542,-0.0071
543,-0.0076
544,-0.0075
545,-0.007
546,-0.007
547,-0.0065
548,-0.0068
549,-0.0071
550,-0.0069
551,-0.0072
552,-0.0069
553,-0.0072
554,-0.007
555,-0.007
556,-0.0069
557,-0.0063
558,-0.0067
559,-0.0066
560,-0.0064
561,-0.0065
562,-0.0068
563,-0.0062
564,-0.0062
565,-0.0062
566,-0.0067
567,-0.0065
568,-0.0065
569,-0.0062
570,-0.0063
571,-0.0064
572,-0.0062
573,-0.0063
574,-0.0062
575,-0.0062
576,-0.0059
577,-0.0061
578,-0.0057
579,-0.006
580,-0.0065
581,-0.0059
582,-0.0056
583,-0.006
584,-0.0055
585,-0.006
586,-0.0059
587,-0.0056
588,-0.0061
589,-0.0059
590,-0.0059
591,-0.0061
592,-0.0057
593,-0.0055
594,-0.0058
595,-0.0062
596,-0.0058
597,-0.0054
598,-0.0055
599,-0.0051
600,-0.0052
601,-0.0051
602,-0.0055
603,-0.0052
604,-0.0054
605,-0.0052
606,-0.0049
607,-0.005
608,-0.0053
609,-0.0052
610,-0.0056
611,-0.0053
612,-0.0055
